TMIW,3,
RIDE SUMMARY,
Total Time,3601,Seconds,
Total Distance,10644.0,M,
Device Name,KayakPro B6081290,
Device ID,E0:FB:B6:08:12:90,
Start Time,1647172696238,
End Time,1647176300134,
CAL,1,
Uploaded,false,
Strava ID,0,
Four CC,KPro,
Sport,Kayaking,
Power Factor,1.0,
Calorie Factor,1.0,
HR Calorie Factor,1.0,
HRM Calorie Factor,1.0,
HRM ID,F0:13:C3:B1:8C:ED,
HR Based Calories,false,
Time Zone,Europe/Budapest,
SUUNTO Uploaded,false,
SUUNTO Blob Url,,
SUUNTO Workout Url,,
SUUNTO Upload Id,,
Under Armour Uploaded,false,
Under Armour Workout Id,0,
Training Peaks Uploaded,false,
training_peaks_athlete_id,0,
training_peaks_workout_id,0,
Moving Time,3603890,

RIDE DATA
Power,RPM,HR,DISTANCE,TIME_STAMP,ELAPSED,SPEED,CAL,
21,0,53,1.00,1647172696238,0,6.21,0,
38,79,54,2.00,1647172696797,1,7.56,0,
61,81,54,4.00,1647172697319,2,8.87,0,
61,82,54,6.00,1647172697859,2,8.87,0,
82,84,54,7.00,1647172698396,2,9.78,0,
96,89,54,9.00,1647172698938,2,10.29,0,
102,92,54,10.00,1647172699479,2,10.53,0,
102,95,54,11.00,1647172700019,2,10.53,0,
104,94,54,13.00,1647172700563,2,10.59,0,
110,93,54,15.00,1647172701095,2,10.78,0,
111,92,54,17.00,1647172701635,3,10.78,0,
111,92,54,18.00,1647172702175,3,10.78,0,
109,92,54,20.00,1647172702743,4,10.71,0,
106,92,54,21.00,1647172703256,4,10.65,1,
106,92,54,23.00,1647172703796,5,10.65,1,
103,92,54,25.00,1647172704335,6,10.53,1,
103,91,54,26.00,1647172704876,6,10.53,1,
103,90,54,28.00,1647172705416,7,10.53,1,
106,90,54,29.00,1647172705956,7,10.65,1,
106,90,54,31.00,1647172706499,8,10.65,1,
105,91,54,32.00,1647172707309,8,10.59,1,
109,90,54,35.00,1647172707846,9,10.71,1,
109,89,54,37.00,1647172708386,10,10.71,1,
108,89,54,38.00,1647172708930,10,10.71,1,
105,90,54,40.00,1647172709467,11,10.59,1,
106,91,54,41.00,1647172710008,11,10.65,1,
106,91,54,43.00,1647172710551,12,10.65,1,
111,91,55,45.00,1647172711088,12,10.78,1,
111,91,55,46.00,1647172711629,13,10.78,1,
110,90,58,48.00,1647172712168,13,10.78,1,
112,90,58,49.00,1647172712706,14,10.84,1,
114,90,58,49.00,1647172713248,14,10.91,1,
114,91,66,49.00,1647172713787,15,10.91,1,
114,91,66,49.00,1647172714329,16,10.91,1,
113,90,66,49.00,1647172714866,16,10.84,1,
113,90,66,49.00,1647172715410,17,10.84,1,
113,89,71,49.00,1647172715948,17,10.84,1,
113,89,71,49.00,1647172716487,18,10.84,1,
116,89,71,49.00,1647172717027,18,10.98,1,
116,89,71,49.00,1647172717571,19,10.98,1,
115,89,74,49.00,1647172718107,19,10.91,1,
111,89,74,49.00,1647172718645,20,10.78,1,
110,90,74,49.00,1647172719186,20,10.78,1,
110,89,75,49.00,1647172719723,21,10.78,1,
111,89,75,49.00,1647172720268,21,10.78,1,
112,89,77,49.00,1647172720807,22,10.84,1,
112,89,77,49.00,1647172721350,23,10.84,1,
110,89,77,49.00,1647172721886,23,10.78,1,
110,88,77,49.00,1647172722428,24,10.78,1,
110,88,82,49.00,1647172722968,24,10.78,1,
111,88,82,49.00,1647172723510,25,10.78,1,
110,89,82,49.00,1647172724050,25,10.78,1,
111,89,82,49.00,1647172724586,26,10.78,1,
111,89,83,49.00,1647172725127,26,10.78,1,
111,88,83,49.00,1647172725666,27,10.78,1,
113,88,87,49.00,1647172726476,27,10.84,1,
113,89,87,49.00,1647172727025,28,10.84,1,
114,90,87,49.00,1647172727558,29,10.91,1,
112,90,91,49.00,1647172728096,29,10.84,1,
111,89,91,49.00,1647172728636,30,10.78,1,
111,87,91,49.00,1647172729448,30,10.78,1,
112,86,96,50.00,1647172729988,31,10.84,1,
112,86,96,52.00,1647172731070,32,10.84,1,
111,87,96,55.00,1647172731607,33,10.78,1,
109,88,102,57.00,1647172732147,33,10.71,1,
108,89,102,58.00,1647172732691,34,10.71,1,
108,89,102,60.00,1647172733227,34,10.71,1,
108,88,104,61.00,1647172733772,35,10.71,1,
111,88,104,63.00,1647172734306,35,10.78,1,
110,88,106,65.00,1647172734847,36,10.78,1,
109,89,106,67.00,1647172735388,37,10.71,1,
109,89,106,68.00,1647172735927,37,10.71,1,
106,88,106,70.00,1647172736469,38,10.65,1,
110,88,108,71.00,1647172737006,38,10.78,1,
106,87,108,72.00,1647172737817,39,10.65,1,
