TMIW,3,
RIDE SUMMARY,
Total Time,3605,Seconds,
Total Distance,10531.0,M,
Device Name,KayakPro B6081290,
Device ID,E0:FB:B6:08:12:90,
Start Time,1647777844855,
End Time,1647781450095,
CAL,565,
Uploaded,false,
Strava ID,0,
Four CC,KPro,
Sport,Kayaking,
Power Factor,1.0,
Calorie Factor,1.0,
HR Calorie Factor,1.0,
HRM Calorie Factor,1.0,
HRM ID,F0:13:C3:B1:8C:ED,
HR Based Calories,true,
Time Zone,Europe/Budapest,
SUUNTO Uploaded,false,
SUUNTO Blob Url,,
SUUNTO Workout Url,,
SUUNTO Upload Id,,
Under Armour Uploaded,false,
Under Armour Workout Id,0,
Training Peaks Uploaded,false,
training_peaks_athlete_id,0,
training_peaks_workout_id,0,
Moving Time,3604786,

RIDE DATA
Power,RPM,HR,DISTANCE,TIME_STAMP,ELAPSED,SPEED,CAL,
11,0,55,1.00,1647777844855,0,5.08,0,
11,0,55,2.00,1647777845346,0,5.08,0,
29,29,55,3.00,1647777845814,1,6.95,0,
55,48,55,4.00,1647777846302,1,8.57,0,
55,64,55,5.00,1647777846775,2,8.57,0,
75,83,55,6.00,1647777847277,2,9.47,0,
85,87,58,7.00,1647777847754,3,9.89,0,
85,88,58,9.00,1647777848231,3,9.89,0,
93,90,59,10.00,1647777848700,4,10.17,0,
97,91,59,12.00,1647777849207,4,10.34,0,
101,93,61,13.00,1647777849907,5,10.47,0,
104,94,61,15.00,1647777850394,5,10.59,0,
108,94,61,17.00,1647777850856,6,10.71,0,
108,95,61,18.00,1647777851352,6,10.71,0,
110,97,61,20.00,1647777851830,7,10.78,0,
110,98,61,21.00,1647777852313,7,10.78,1,
112,99,61,22.00,1647777852772,8,10.84,1,
113,99,61,24.00,1647777853266,8,10.84,1,
113,99,62,25.00,1647777853733,9,10.84,1,
109,99,62,27.00,1647777854229,9,10.71,1,
106,99,62,28.00,1647777854694,10,10.65,1,
103,98,62,30.00,1647777855195,10,10.53,1,
105,98,63,31.00,1647777855668,11,10.59,1,
105,97,63,32.00,1647777856149,11,10.59,1,
106,97,63,34.00,1647777856636,12,10.65,1,
112,97,63,35.00,1647777857099,12,10.84,1,
110,97,63,37.00,1647777857581,13,10.78,1,
110,96,64,38.00,1647777858060,13,10.78,1,
110,95,67,40.00,1647777858771,14,10.78,2,
109,94,67,41.00,1647777859259,14,10.71,2,
111,94,67,43.00,1647777859738,15,10.78,2,
110,95,67,44.00,1647777860210,15,10.78,2,
113,96,70,46.00,1647777860692,16,10.84,2,
113,96,70,47.00,1647777861179,16,10.84,2,
115,96,77,49.00,1647777861656,17,10.91,2,
116,96,77,51.00,1647777862145,17,10.98,2,
116,97,80,52.00,1647777862627,18,10.98,2,
118,97,80,54.00,1647777863108,18,11.04,2,
116,97,80,55.00,1647777863588,19,10.98,2,
116,97,84,57.00,1647777864067,19,10.98,2,
118,97,88,58.00,1647777864781,20,11.04,3,
116,97,88,59.00,1647777865274,20,10.98,3,
116,97,88,61.00,1647777865735,21,10.98,3,
116,98,88,63.00,1647777866232,21,10.98,3,
116,98,89,63.00,1647777866692,21,10.98,3,
119,98,89,66.00,1647777867191,22,11.04,3,
119,98,92,67.00,1647777867657,23,11.04,3,
121,97,92,69.00,1647777868151,23,11.11,3,
119,97,92,70.00,1647777868677,24,11.04,3,
118,97,92,73.00,1647777869358,24,11.04,3,
118,96,94,74.00,1647777869820,25,11.04,3,
119,97,94,76.00,1647777870322,25,11.04,4,
119,98,97,77.00,1647777871030,26,11.04,4,
115,99,97,79.00,1647777871511,26,10.91,4,
115,99,97,80.00,1647777871996,27,10.91,4,
115,97,97,82.00,1647777872478,27,10.91,4,
115,96,98,83.00,1647777872950,28,10.91,4,
116,97,100,85.00,1647777873669,28,10.98,4,
116,97,100,87.00,1647777874155,29,10.98,4,
116,97,102,89.00,1647777874644,30,10.98,4,
115,97,102,90.00,1647777875106,30,10.91,4,
115,97,102,92.00,1647777875580,31,10.91,4,
113,97,103,93.00,1647777876071,31,10.84,4,
114,98,104,95.00,1647777876776,32,10.91,5,
114,99,104,96.00,1647777877274,32,10.91,5,
110,98,104,98.00,1647777877750,33,10.78,5,
110,97,104,99.00,1647777878219,33,10.78,5,
108,96,106,101.00,1647777878691,34,10.71,5,
109,96,106,102.00,1647777879185,34,10.71,5,
109,96,108,104.00,1647777879735,35,10.71,5,
106,96,108,106.00,1647777880636,35,10.65,5,
106,95,108,108.00,1647777881112,36,10.65,5,
111,96,109,110.00,1647777881593,37,10.78,5,
111,97,109,111.00,1647777882068,37,10.78,5,
110,97,110,113.00,1647777882782,38,10.78,6,
109,97,110,114.00,1647777883279,38,10.71,6,
106,96,110,116.00,1647777883737,39,10.65,6,
108,95,110,117.00,1647777884237,39,10.71,6,
108,95,111,118.00,1647777884695,40,10.71,6,
109,95,111,120.00,1647777885188,40,10.71,6,
111,95,113,121.00,1647777885702,41,10.78,6,
110,95,113,124.00,1647777886390,41,10.78,6,
111,96,113,125.00,1647777886871,42,10.78,6,
112,96,113,127.00,1647777887352,42,10.84,6,
112,96,115,128.00,1647777887818,43,10.84,6,
112,97,115,129.00,1647777888301,43,10.84,6,
112,96,117,130.00,1647777888774,44,10.84,7,
114,96,117,132.00,1647777889267,44,10.91,7,
114,96,117,134.00,1647777889748,45,10.91,7,
114,95,117,135.00,1647777890227,45,10.91,7,
115,95,117,137.00,1647777890689,46,10.91,7,
114,95,117,138.00,1647777891188,46,10.91,7,
115,95,120,140.00,1647777891739,47,10.91,7,
113,94,120,142.00,1647777892389,47,10.84,7,
112,93,120,143.00,1647777892875,48,10.84,7,
112,93,120,145.00,1647777893344,48,10.84,7,
111,93,123,146.00,1647777893818,49,10.78,7,
111,94,123,148.00,1647777894301,49,10.78,7,
111,95,124,149.00,1647777894775,50,10.78,8,
108,95,124,150.00,1647777895273,50,10.71,8,
108,95,126,151.00,1647777895762,51,10.71,8,
109,94,126,153.00,1647777896238,51,10.71,8,
112,94,126,155.00,1647777896706,52,10.84,8,
112,95,126,156.00,1647777897178,52,10.84,8,
112,95,128,157.00,1647777897671,53,10.84,8,
112,95,128,159.00,1647777898147,53,10.84,8,
111,94,128,161.00,1647777898629,54,10.78,8,
111,94,130,162.00,1647777899107,54,10.78,8,
113,94,130,164.00,1647777899588,55,10.84,8,
112,94,133,165.00,1647777900060,55,10.84,8,
113,93,133,167.00,1647777900782,56,10.84,8,
111,93,133,168.00,1647777901260,56,10.78,9,
111,92,133,170.00,1647777901742,57,10.78,9,
110,92,133,171.00,1647777902227,57,10.78,9,
109,92,133,172.00,1647777902689,58,10.71,9,
