
RIDE SUMMARY,
Total Time, 49.5, Minutes, 
Total Distance, 24.68, MI, 
AVG Power, 251,
MAX Power, 498,
AVG RPM, 71,
MAX RPM, 112,
AVG HR, 0,
MAX HR, 0,
CAL, 0,

STAGE_1_SUMMARY,
Stage Time, 46.6, Minutes,
Total Distance, 23.98, MI,
AVG Power, 257,
MAX Power, 498,
AVG HR, 0,
MAX HR, 0,

RIDE DATA,
Power, RPM, HR, DISTANCE,
190,77,76,0
166,71,76,0
155,67,76,0.02
135,63,77,0.04
128,63,77,0.05
131,63,77,0.07
131,63,78,0.08
130,63,78,0.09
131,65,79,0.11
135,64,79,0.12
139,65,79,0.13
135,64,79,0.15
132,63,80,0.16
134,63,80,0.17
135,66,80,0.19
138,65,81,0.2
145,66,78,0.21
183,75,80,0.23
142,66,83,0.24
187,77,88,0.26
142,66,90,0.27
144,66,92,0.29
138,66,92,0.31
133,65,90,0.32
137,65,86,0.34
145,67,88,0.35
149,68,89,0.36
149,68,88,0.38
145,67,89,0.39
149,68,88,0.41
149,68,92,0.42
145,67,93,0.44
145,68,94,0.45
149,68,97,0.47
153,69,95,0.48
145,67,98,0.5
145,66,97,0.51
141,65,98,0.53
169,68,97,0.54
153,69,95,0.56
149,68,96,0.57
147,66,97,0.59
137,65,94,0.6
132,63,95,0.62
133,64,95,0.63
133,64,94,0.65
136,64,95,0.66
133,64,96,0.67
84,24,96,0.69
15,19,95,0.7
2,9,94,0.7
2,7,93,0.7
1,6,93,0.7
178,75,94,0.71
203,81,94,0.71
203,81,94,0.72
161,72,96,0.74
189,77,96,0.76
190,79,97,0.78
208,82,96,0.8
211,82,96,0.82
208,82,97,0.84
199,80,98,0.86
243,89,100,0.88
267,95,100,0.9
262,95,101,0.93
267,95,97,0.95
266,94,97,0.98
256,92,93,1.01
239,89,95,1.03
239,89,94,1.06
235,88,97,1.08
226,86,99,1.11
226,86,103,1.13
227,88,105,1.15
226,86,107,1.18
229,86,110,1.2
264,95,112,1.22
264,96,114,1.25
300,102,115,1.27
