
RIDE SUMMARY,
Total Time, 45.4, Minutes, 
Total Distance, 14.99, MI, 
AVG Power, 168, 
MAX Power, 450, 
AVG RPM, 68, 
MAX RPM, 161, 
AVG HR, 17, 
MAX HR, 139, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time,  1.6, Minutes, 
Total Distance, 0.13, MI, 
AVG Power, 74, 
MAX Power, 150, 
AVG HR, 12, 
MAX HR, 94, 

STAGE_2_SUMMARY,
Stage Time,  0.3, Minutes, 
Total Distance, 0.00, MI, 
AVG Power, 1, 
MAX Power, 2, 
AVG HR, 32, 
MAX HR, 97, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
40,77,0,0.00,
38,73,0,0.00,
34,69,0,0.01,
32,68,0,0.01,
31,70,0,0.01,
32,69,0,0.02,
32,69,0,0.02,
32,72,0,0.02,
34,73,0,0.03,
34,73,0,0.03,
34,73,0,0.03,
34,66,45,0.04,
29,68,47,0.04,
30,71,50,0.04,
32,71,0,0.05,
32,71,0,0.05,
33,73,0,0.05,
34,73,0,0.06,
34,71,0,0.06,
33,72,0,0.06,
34,75,0,0.07,
46,78,0,0.07,
144,79,0,0.07,
161,83,0,0.08,
116,84,0,0.10,
117,85,0,0.11,
109,84,0,0.12,
116,83,0,0.13,
114,83,0,0.15,
113,83,62,0.16,
113,84,62,0.17,
108,81,0,0.18,
112,82,0,0.19,
112,83,0,0.20,
111,82,66,0.21,
105,80,75,0.22,
103,78,0,0.24,
101,79,0,0.25,
102,79,0,0.26,
104,80,0,0.27,
101,78,0,0.28,
92,74,0,0.29,
85,71,0,0.30,
151,85,0,0.31,
120,83,0,0.32,
142,82,79,0.33,
136,80,0,0.34,
120,73,0,0.36,
118,74,0,0.37,
118,74,0,0.38,
121,75,0,0.39,
120,74,78,0.40,
118,74,78,0.42,
118,74,0,0.43,
117,73,0,0.44,
110,71,0,0.45,
120,74,77,0.46,
152,86,72,0.48,
144,82,0,0.49,
151,81,71,0.50,
149,82,0,0.52,
150,82,0,0.53,
146,80,0,0.55,
153,83,0,0.56,
149,83,0,0.58,
118,76,0,0.59,
160,89,0,0.60,
169,87,0,0.62,
147,85,0,0.64,
156,84,0,0.65,
155,84,0,0.67,
158,85,0,0.68,
204,99,0,0.70,
165,87,77,0.71,
162,85,77,0.73,
134,79,77,0.75,
167,88,77,0.76,
167,88,0,0.78,
161,86,0,0.80,
160,86,0,0.81,
161,88,0,0.83,
167,89,0,0.84,
171,89,0,0.86,
164,87,0,0.88,
161,86,0,0.89,
154,79,82,0.91,
171,89,0,0.93,
171,89,0,0.94,
167,88,0,0.96,
167,88,0,0.98,
171,89,0,0.99,
167,88,0,1.01,
168,90,0,1.03,
180,92,0,1.04,
173,89,0,1.06,
167,88,89,1.08,
157,85,89,1.09,
152,88,0,1.11,
172,90,0,1.13,
172,90,0,1.14,
163,87,0,1.16,
163,87,0,1.18,
169,89,0,1.19,
165,88,0,1.21,
165,88,90,1.23,
165,90,90,1.24,
169,89,91,1.26,
165,90,0,1.28,
175,92,0,1.29,
175,90,0,1.31,
167,88,0,1.33,
162,88,0,1.34,
165,89,0,1.36,
165,89,0,1.38,
168,90,0,1.39,
165,89,0,1.41,
171,91,0,1.43,
171,92,91,1.44,
167,90,91,1.46,
164,89,0,1.48,
163,87,0,1.49,
164,89,0,1.51,
167,88,0,1.53,
234,90,0,1.54,
225,88,0,1.56,
210,85,0,1.58,
162,73,0,1.60,
147,70,0,1.63,
146,70,0,1.64,
138,69,0,1.66,
149,62,0,1.67,
149,63,0,1.68,
167,66,0,1.70,
179,67,93,1.72,
173,67,93,1.73,
200,66,0,1.75,
295,83,0,1.77,
212,68,0,1.79,
227,70,0,1.82,
166,72,94,1.84,
235,75,0,1.86,
143,54,0,1.88,
168,70,0,1.90,
219,68,0,1.92,
225,53,0,1.94,
225,69,0,1.96,
217,66,0,1.98,
219,68,0,2.00,
218,67,0,2.02,
185,63,0,2.04,
191,63,0,2.07,
191,63,0,2.08,
189,62,0,2.10,
169,60,0,2.12,
212,66,102,2.14,
172,60,116,2.16,
178,61,116,2.18,
178,62,0,2.20,
179,62,0,2.21,
205,66,0,2.23,
213,75,123,2.25,
222,69,0,2.28,
221,69,0,2.30,
216,67,0,2.32,
204,65,0,2.34,
200,65,125,2.36,
187,57,125,2.38,
211,67,0,2.40,
217,68,0,2.42,
201,65,0,2.44,
293,81,0,2.46,
253,62,0,2.48,
173,60,0,2.51,
135,53,0,2.53,
306,80,0,2.54,
330,87,0,2.56,
232,72,0,2.59,
243,73,0,2.61,
222,64,0,2.64,
196,65,0,2.66,
205,60,0,2.68,
218,62,124,2.70,
227,64,0,2.72,
245,66,0,2.74,
263,73,0,2.76,
279,71,0,2.79,
271,70,0,2.82,
257,68,0,2.84,
247,65,0,2.87,
222,54,0,2.90,
179,56,0,2.92,
197,60,0,2.94,
218,63,0,2.96,
199,70,0,2.98,
189,58,0,3.00,
188,57,0,3.02,
194,59,0,3.04,
193,58,0,3.06,
197,58,0,3.08,
202,66,125,3.10,
249,65,125,3.12,
238,64,0,3.14,
236,64,121,3.17,
210,60,0,3.19,
230,64,0,3.21,
220,63,0,3.24,
233,67,0,3.26,
263,68,0,3.28,
187,57,0,3.31,
184,58,0,3.33,
203,66,0,3.35,
220,64,0,3.37,
219,62,0,3.39,
203,60,0,3.41,
231,64,0,3.44,
245,66,0,3.46,
234,80,0,3.48,
218,62,0,3.50,
231,64,0,3.53,
253,68,0,3.55,
259,69,0,3.58,
204,64,0,3.60,
258,68,0,3.63,
198,58,121,3.65,
192,58,0,3.67,
205,60,0,3.69,
227,65,0,3.71,
236,64,0,3.73,
205,60,0,3.76,
206,60,0,3.78,
247,58,0,3.80,
272,70,0,3.82,
244,64,0,3.85,
211,61,0,3.87,
162,53,0,3.89,
247,65,0,3.91,
237,65,0,3.93,
178,57,123,3.96,
204,60,123,3.98,
215,61,0,4.00,
197,58,0,4.02,
161,53,0,4.04,
169,54,0,4.06,
171,55,0,4.08,
184,58,121,4.10,
207,61,0,4.11,
214,62,0,4.13,
212,61,0,4.15,
202,60,0,4.17,
258,68,0,4.19,
232,65,121,4.22,
220,63,121,4.24,
221,64,0,4.26,
205,61,0,4.29,
236,57,0,4.31,
191,58,0,4.33,
240,66,0,4.35,
244,65,0,4.37,
226,64,0,4.39,
226,62,122,4.42,
215,62,121,4.44,
221,62,0,4.46,
184,58,0,4.48,
186,57,0,4.51,
158,52,0,4.52,
194,58,122,4.54,
213,61,0,4.56,
207,60,125,4.58,
207,60,125,4.60,
271,68,0,4.62,
182,56,0,4.64,
189,58,0,4.67,
195,59,0,4.68,
281,71,0,4.70,
194,58,0,4.72,
207,60,0,4.75,
221,63,128,4.77,
198,76,128,4.79,
192,89,0,4.81,
165,89,0,4.83,
177,85,0,4.85,
169,82,0,4.87,
158,80,0,4.88,
151,78,0,4.90,
148,77,0,4.92,
196,89,0,4.93,
183,88,133,4.95,
182,86,0,4.96,
173,85,0,4.98,
150,77,0,5.00,
217,94,0,5.02,
201,93,0,5.04,
206,91,139,5.06,
203,91,139,5.08,
213,92,0,5.10,
211,93,0,5.12,
215,94,132,5.14,
206,93,132,5.16,
210,93,0,5.18,
203,91,0,5.20,
199,90,0,5.22,
201,91,0,5.24,
217,93,0,5.26,
229,93,0,5.28,
227,95,0,5.31,
224,95,0,5.33,
244,117,0,5.35,
256,121,129,5.37,
256,121,0,5.40,
248,116,0,5.42,
232,113,0,5.45,
184,89,0,5.47,
238,98,0,5.49,
232,97,0,5.51,
211,94,0,5.54,
214,92,0,5.56,
210,92,0,5.58,
204,89,0,5.60,
159,90,0,5.62,
143,93,0,5.64,
162,98,0,5.66,
164,102,0,5.67,
171,101,0,5.69,
167,100,0,5.71,
164,99,0,5.72,
158,97,106,5.74,
160,95,106,5.76,
255,104,0,5.77,
243,101,95,5.80,
242,101,0,5.83,
239,100,0,5.85,
250,103,0,5.88,
242,101,0,5.90,
228,101,0,5.92,
229,98,0,5.95,
232,98,0,5.97,
188,87,0,6.00,
108,85,0,6.02,
120,103,0,6.04,
150,104,0,6.05,
149,102,0,6.06,
145,102,97,6.08,
118,90,98,6.09,
138,99,0,6.10,
143,102,0,6.12,
161,109,0,6.13,
161,109,100,6.15,
159,102,0,6.16,
154,106,0,6.18,
153,106,101,6.19,
153,106,0,6.21,
168,112,0,6.22,
167,111,0,6.24,
161,105,0,6.25,
149,103,0,6.27,
201,82,0,6.29,
167,65,0,6.30,
181,68,0,6.32,
209,75,0,6.34,
204,73,0,6.36,
203,72,0,6.38,
173,68,0,6.40,
211,73,0,6.42,
192,71,102,6.43,
184,69,102,6.46,
168,66,0,6.48,
163,65,0,6.49,
162,65,0,6.51,
172,67,0,6.53,
191,71,0,6.54,
186,70,108,6.56,
181,68,0,6.58,
177,68,0,6.60,
172,67,0,6.62,
181,68,0,6.63,
300,75,0,6.65,
248,68,0,6.67,
251,68,0,6.70,
243,70,0,6.72,
261,70,0,6.75,
199,61,0,6.77,
216,63,0,6.80,
188,60,0,6.82,
211,69,0,6.84,
194,60,0,6.86,
195,60,114,6.88,
254,69,122,6.90,
239,66,0,6.92,
173,56,0,6.94,
215,63,0,6.97,
179,58,0,6.99,
180,58,127,7.01,
183,58,0,7.03,
182,58,0,7.04,
182,62,0,7.06,
201,61,0,7.08,
201,61,0,7.10,
161,55,0,7.12,
219,63,0,7.14,
238,68,125,7.16,
188,58,0,7.18,
213,63,0,7.20,
160,54,0,7.22,
173,63,0,7.24,
213,63,0,7.26,
218,68,0,7.28,
165,55,0,7.30,
160,54,0,7.33,
171,56,0,7.34,
153,52,0,7.36,
153,53,0,7.38,
165,55,0,7.39,
134,55,123,7.41,
159,49,0,7.42,
135,52,0,7.44,
160,54,0,7.45,
152,56,0,7.47,
149,52,0,7.48,
161,61,0,7.50,
200,60,0,7.51,
196,61,0,7.53,
230,65,0,7.55,
225,65,0,7.57,
177,57,0,7.60,
178,58,121,7.62,
184,59,121,7.64,
218,63,0,7.65,
247,62,0,7.67,
301,70,0,7.70,
230,55,0,7.72,
246,57,0,7.75,
297,64,0,7.78,
254,58,0,7.80,
254,58,122,7.83,
260,58,0,7.86,
104,42,0,7.88,
172,54,0,7.91,
152,51,0,7.92,
152,52,0,7.94,
133,48,0,7.95,
177,60,0,7.97,
208,61,0,7.98,
215,61,0,8.00,
195,59,0,8.02,
176,60,0,8.04,
146,49,0,8.06,
140,50,0,8.08,
193,57,0,8.10,
174,54,0,8.11,
208,62,115,8.13,
259,67,0,8.15,
192,58,0,8.17,
200,66,0,8.19,
236,64,0,8.21,
235,65,114,8.24,
243,66,0,8.26,
248,66,0,8.28,
248,66,0,8.31,
258,68,0,8.33,
254,67,0,8.36,
175,64,0,8.38,
174,78,0,8.41,
166,77,0,8.42,
175,59,0,8.44,
175,59,0,8.46,
149,52,0,8.48,
156,51,0,8.50,
150,52,0,8.51,
161,53,0,8.53,
170,55,0,8.54,
155,53,0,8.56,
181,57,0,8.57,
149,52,0,8.59,
246,61,0,8.61,
276,65,0,8.63,
287,67,101,8.65,
275,65,0,8.68,
273,64,0,8.71,
272,65,0,8.74,
329,66,0,8.76,
282,66,0,8.79,
178,62,86,8.82,
119,72,0,8.85,
159,74,0,8.87,
144,70,66,8.88,
137,67,66,8.90,
130,64,68,8.91,
136,55,68,8.92,
101,56,0,8.94,
97,58,0,8.95,
101,57,0,8.96,
101,57,0,8.97,
104,57,0,8.98,
120,70,70,8.99,
151,69,70,9.00,
144,68,0,9.01,
132,67,75,9.03,
139,66,75,9.04,
135,66,0,9.06,
174,49,0,9.07,
115,50,0,9.09,
121,52,0,9.10,
131,53,0,9.11,
105,48,0,9.12,
135,54,0,9.14,
131,53,0,9.15,
131,50,0,9.16,
238,53,0,9.17,
230,51,0,9.19,
203,47,0,9.22,
251,47,0,9.24,
241,46,0,9.26,
255,47,0,9.28,
262,46,0,9.31,
230,45,0,9.33,
228,45,0,9.36,
267,49,0,9.38,
233,49,85,9.40,
192,47,0,9.43,
152,47,91,9.46,
171,49,91,9.47,
172,49,0,9.49,
155,45,0,9.51,
160,43,0,9.52,
167,44,0,9.54,
180,45,0,9.55,
153,42,0,9.57,
147,36,0,9.59,
122,39,0,9.60,
177,36,0,9.62,
272,45,0,9.63,
275,46,0,9.66,
277,45,0,9.68,
188,38,0,9.71,
208,40,0,9.74,
249,43,0,9.76,
275,47,0,9.78,
93,33,0,9.80,
169,43,0,9.83,
137,43,0,9.84,
166,46,0,9.86,
137,43,0,9.87,
149,45,0,9.89,
173,47,0,9.90,
149,45,0,9.92,
125,66,89,9.93,
193,66,89,9.95,
105,67,0,9.96,
150,84,0,9.98,
157,82,0,9.99,
142,79,0,10.01,
119,74,93,10.02,
113,72,0,10.04,
109,70,0,10.05,
109,71,0,10.06,
106,65,0,10.07,
97,66,0,10.08,
97,66,0,10.09,
99,65,0,10.10,
101,66,92,10.11,
141,78,0,10.12,
140,77,0,10.13,
138,77,0,10.14,
135,76,0,10.16,
141,78,0,10.17,
151,82,0,10.19,
164,86,0,10.20,
164,87,0,10.22,
169,87,90,10.23,
155,84,90,10.25,
152,82,0,10.27,
141,78,0,10.28,
133,76,0,10.30,
133,76,0,10.31,
125,73,0,10.32,
94,63,0,10.34,
31,65,0,10.35,
61,90,0,10.36,
61,90,0,10.36,
60,87,0,10.37,
97,75,89,10.38,
97,72,0,10.38,
88,69,0,10.39,
80,67,0,10.40,
83,66,0,10.41,
101,75,0,10.42,
89,69,91,10.42,
89,75,91,10.43,
86,66,0,10.44,
83,66,0,10.45,
86,66,0,10.46,
86,68,0,10.47,
85,67,0,10.48,
105,75,0,10.49,
94,73,0,10.50,
96,71,0,10.51,
96,72,0,10.52,
97,74,0,10.52,
103,74,0,10.53,
102,74,0,10.54,
89,75,0,10.56,
74,62,93,10.56,
97,72,0,10.57,
97,72,0,10.58,
98,74,0,10.59,
102,74,100,10.60,
85,67,100,10.61,
92,70,0,10.62,
91,69,0,10.63,
104,75,0,10.64,
103,74,0,10.65,
101,73,0,10.66,
98,72,0,10.67,
92,70,0,10.68,
91,69,0,10.69,
87,68,0,10.70,
86,67,0,10.71,
85,67,0,10.72,
85,67,0,10.72,
85,67,0,10.73,
86,68,0,10.74,
90,70,0,10.75,
85,67,0,10.76,
85,67,0,10.77,
81,67,0,10.78,
86,66,0,10.79,
88,67,0,10.79,
78,65,0,10.80,
77,63,0,10.81,
84,67,0,10.82,
84,67,0,10.83,
83,65,0,10.84,
80,64,0,10.84,
84,66,0,10.85,
79,65,0,10.86,
91,71,0,10.87,
93,74,0,10.88,
116,78,0,10.88,
117,80,0,10.90,
109,79,0,10.91,
108,77,0,10.92,
107,76,0,10.93,
109,79,0,10.94,
144,74,101,10.95,
139,72,0,10.96,
117,67,0,10.98,
123,71,0,10.99,
148,75,0,11.00,
148,75,0,11.02,
144,74,94,11.03,
144,74,94,11.05,
141,73,0,11.06,
130,70,0,11.08,
131,72,0,11.09,
135,73,0,11.10,
141,73,0,11.12,
144,74,0,11.13,
141,73,0,11.14,
143,73,0,11.16,
148,75,0,11.17,
148,76,0,11.19,
151,76,0,11.20,
221,70,0,11.22,
210,72,0,11.23,
211,72,0,11.25,
204,71,0,11.28,
202,68,0,11.30,
148,57,0,11.32,
151,59,0,11.33,
159,61,0,11.35,
134,56,0,11.36,
138,56,92,11.38,
136,56,92,11.39,
135,56,0,11.41,
154,62,0,11.42,
172,59,0,11.43,
153,61,0,11.45,
161,61,0,11.47,
161,56,0,11.48,
131,55,0,11.50,
131,54,101,11.51,
128,54,0,11.53,
132,56,0,11.54,
140,56,0,11.55,
137,56,0,11.57,
155,60,100,11.58,
150,59,0,11.59,
119,52,108,11.61,
124,55,112,11.63,
141,57,0,11.64,
137,56,0,11.65,
131,54,0,11.66,
114,51,0,11.68,
119,53,0,11.69,
127,49,0,11.70,
160,61,0,11.72,
150,59,0,11.73,
115,51,0,11.74,
122,54,0,11.76,
131,56,0,11.77,
135,56,0,11.78,
149,59,0,11.80,
154,60,0,11.81,
122,53,0,11.83,
122,54,114,11.84,
