
RIDE SUMMARY,
Total Time, 46.7, Minutes, 
Total Distance, 23.23, MI, 
AVG Power, 249, 
MAX Power, 464, 
AVG RPM, 64, 
MAX RPM, 143, 
AVG HR, 0, 
MAX HR, 0, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 44.2, Minutes, 
Total Distance, 22.68, MI, 
AVG Power, 257, 
MAX Power, 464, 
AVG HR, 0, 
MAX HR, 0, 

STAGE_2_SUMMARY,
Stage Time, 44.3, Minutes, 
Total Distance, 22.69, MI, 
AVG Power, 256, 
MAX Power, 464, 
AVG HR, 0, 
MAX HR, 0, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
92,72,0,0.00,
126,81,0,0.00,
112,78,0,0.01,
110,74,0,0.03,
104,74,0,0.04,
111,77,0,0.05,
112,76,0,0.06,
84,67,0,0.07,
119,84,0,0.08,
122,87,0,0.09,
163,88,0,0.10,
160,87,0,0.12,
153,84,0,0.13,
142,76,0,0.15,
139,82,0,0.16,
173,83,0,0.18,
158,80,0,0.19,
153,80,0,0.21,
152,78,0,0.22,
139,77,0,0.24,
136,76,0,0.25,
161,84,0,0.27,
174,84,0,0.28,
167,82,0,0.30,
167,83,0,0.32,
165,82,0,0.33,
155,79,0,0.35,
162,81,0,0.37,
159,82,0,0.38,
167,82,0,0.40,
175,83,0,0.41,
176,83,0,0.43,
180,83,0,0.45,
160,81,0,0.47,
123,70,0,0.48,
157,79,0,0.50,
163,80,0,0.51,
166,81,0,0.53,
206,65,0,0.54,
225,65,0,0.56,
206,65,0,0.58,
187,61,0,0.60,
196,63,0,0.62,
198,63,0,0.64,
221,83,0,0.66,
210,65,0,0.68,
207,64,0,0.71,
210,65,0,0.73,
182,61,0,0.75,
184,62,0,0.77,
196,64,0,0.79,
209,65,0,0.81,
215,66,0,0.83,
232,68,0,0.85,
231,67,0,0.87,
226,68,0,0.90,
215,65,0,0.92,
217,65,0,0.94,
187,63,0,0.96,
222,66,0,0.98,
208,64,0,1.00,
215,65,0,1.03,
221,68,0,1.05,
205,64,0,1.07,
203,64,0,1.09,
203,64,0,1.11,
204,64,0,1.13,
205,65,0,1.15,
214,66,0,1.17,
190,62,0,1.19,
192,64,0,1.21,
219,67,0,1.23,
220,67,0,1.25,
211,80,0,1.28,
196,66,0,1.30,
209,66,0,1.32,
209,66,0,1.34,
208,65,0,1.36,
197,64,0,1.38,
241,66,0,1.40,
214,67,0,1.43,
201,64,0,1.45,
249,73,0,1.47,
212,66,0,1.49,
142,54,0,1.51,
206,66,0,1.53,
211,67,0,1.55,
214,68,0,1.57,
210,67,0,1.59,
199,65,0,1.61,
191,64,0,1.63,
260,71,0,1.65,
245,69,0,1.67,
243,68,0,1.70,
207,63,0,1.72,
285,61,0,1.75,
203,63,0,1.77,
210,64,0,1.79,
217,64,0,1.81,
221,65,0,1.84,
228,65,0,1.86,
249,68,0,1.88,
227,65,0,1.90,
219,63,0,1.93,
223,65,0,1.95,
220,64,0,1.97,
143,52,0,1.99,
214,64,0,2.02,
188,59,0,2.03,
203,56,0,2.05,
249,66,0,2.07,
252,67,0,2.09,
243,65,0,2.12,
198,58,0,2.14,
276,69,0,2.17,
254,66,0,2.19,
288,63,0,2.22,
207,57,0,2.24,
269,67,0,2.27,
258,64,0,2.29,
255,62,0,2.32,
238,60,0,2.35,
247,65,0,2.37,
267,64,0,2.40,
261,63,0,2.42,
204,57,0,2.45,
215,56,0,2.47,
217,57,0,2.49,
217,59,0,2.51,
260,65,0,2.54,
238,60,0,2.56,
184,53,0,2.59,
208,58,0,2.61,
251,61,0,2.63,
255,60,0,2.65,
249,60,0,2.68,
203,52,0,2.70,
197,52,0,2.73,
264,58,0,2.75,
239,58,0,2.77,
256,60,0,2.80,
272,61,0,2.82,
267,60,0,2.85,
186,50,0,2.87,
234,58,0,2.90,
238,57,0,2.92,
230,57,0,2.94,
285,63,0,2.97,
283,62,0,2.99,
261,60,0,3.02,
261,60,0,3.05,
278,63,0,3.08,
237,57,0,3.10,
243,57,0,3.13,
235,56,0,3.15,
221,55,0,3.18,
236,57,0,3.20,
244,61,0,3.22,
313,66,0,3.25,
245,58,0,3.28,
242,58,0,3.30,
257,60,0,3.33,
204,53,0,3.35,
219,55,0,3.38,
270,62,0,3.40,
255,59,0,3.42,
249,59,0,3.45,
246,61,0,3.48,
300,65,0,3.50,
211,55,0,3.53,
214,54,0,3.55,
209,55,0,3.57,
229,56,0,3.60,
266,60,0,3.62,
257,60,0,3.64,
232,58,0,3.67,
325,69,0,3.69,
325,68,0,3.72,
314,67,0,3.75,
375,74,0,3.78,
293,64,0,3.82,
288,64,0,3.85,
202,53,0,3.88,
211,55,0,3.91,
266,60,0,3.93,
245,58,0,3.96,
243,57,0,3.98,
219,55,0,4.01,
221,56,0,4.03,
241,57,0,4.05,
230,55,0,4.08,
288,63,0,4.10,
310,64,0,4.12,
208,54,0,4.15,
178,50,0,4.18,
185,50,0,4.20,
253,59,0,4.22,
235,57,0,4.24,
221,55,0,4.26,
220,56,0,4.28,
204,53,0,4.30,
205,54,0,4.33,
219,55,0,4.35,
222,57,0,4.37,
196,52,0,4.39,
217,55,0,4.41,
310,66,0,4.43,
228,56,0,4.46,
361,71,0,4.49,
316,66,0,4.51,
296,64,0,4.55,
315,66,0,4.58,
309,65,0,4.61,
304,65,0,4.64,
288,64,0,4.67,
276,61,0,4.70,
231,72,0,4.73,
241,86,0,4.75,
242,87,0,4.77,
214,81,0,4.80,
206,78,0,4.82,
193,77,0,4.84,
194,79,0,4.86,
238,86,0,4.88,
217,82,0,4.90,
284,80,0,4.93,
260,78,0,4.95,
262,78,0,4.98,
274,78,0,5.00,
249,76,0,5.03,
244,76,0,5.06,
252,77,0,5.08,
262,77,0,5.11,
238,76,0,5.13,
270,81,0,5.16,
283,81,0,5.18,
280,79,0,5.21,
271,78,0,5.24,
257,78,0,5.26,
266,79,0,5.29,
253,76,0,5.32,
239,67,0,5.34,
265,78,0,5.37,
259,77,0,5.39,
271,79,0,5.42,
278,81,0,5.44,
282,81,0,5.47,
287,81,0,5.50,
160,84,0,5.53,
244,111,0,5.56,
277,117,0,5.58,
369,138,0,5.60,
258,118,0,5.64,
276,116,0,5.67,
302,120,0,5.70,
246,111,0,5.72,
256,115,0,5.75,
256,113,0,5.78,
272,116,0,5.80,
258,110,0,5.83,
254,110,0,5.85,
260,109,0,5.88,
283,77,0,5.90,
225,68,0,5.93,
233,55,0,5.96,
296,66,0,5.99,
264,64,0,6.00,
222,57,0,6.03,
229,58,0,6.06,
253,63,0,6.08,
272,62,0,6.10,
252,61,0,6.13,
330,70,0,6.16,
337,70,0,6.18,
327,69,0,6.22,
309,68,0,6.25,
257,70,0,6.28,
222,73,0,6.31,
223,119,0,6.34,
251,132,0,6.36,
266,136,0,6.38,
263,135,0,6.40,
275,129,0,6.43,
288,117,0,6.46,
356,116,0,6.48,
362,113,0,6.51,
323,107,0,6.55,
321,106,0,6.58,
317,104,0,6.61,
245,92,0,6.64,
160,71,0,6.68,
186,78,0,6.70,
174,78,0,6.72,
191,78,0,6.74,
180,76,0,6.76,
159,72,0,6.78,
232,85,0,6.79,
209,83,0,6.81,
249,74,0,6.83,
174,62,0,6.86,
309,64,0,6.88,
231,66,0,6.90,
294,75,0,6.93,
286,73,0,6.96,
299,72,0,6.99,
303,70,0,7.01,
324,69,0,7.04,
318,69,0,7.08,
264,71,0,7.11,
286,73,0,7.14,
280,73,0,7.17,
280,72,0,7.19,
280,73,0,7.22,
288,73,0,7.25,
276,72,0,7.28,
272,72,0,7.31,
271,72,0,7.33,
259,71,0,7.36,
261,71,0,7.39,
266,76,0,7.42,
292,75,0,7.44,
290,74,0,7.47,
271,72,0,7.50,
263,70,0,7.53,
263,71,0,7.55,
214,69,0,7.58,
256,70,0,7.61,
398,57,0,7.63,
282,57,0,7.66,
291,58,0,7.69,
284,58,0,7.72,
245,74,0,7.75,
279,75,0,7.77,
271,75,0,7.80,
275,74,0,7.83,
270,73,0,7.85,
265,73,0,7.88,
245,72,0,7.91,
238,70,0,7.93,
240,70,0,7.96,
237,72,0,7.98,
273,74,0,8.01,
277,76,0,8.03,
284,77,0,8.06,
276,76,0,8.09,
274,75,0,8.11,
252,73,0,8.14,
259,72,0,8.17,
275,74,0,8.20,
269,73,0,8.22,
275,74,0,8.25,
276,74,0,8.28,
276,74,0,8.30,
273,74,0,8.33,
266,73,0,8.36,
273,73,0,8.39,
190,67,0,8.41,
350,55,0,8.44,
253,55,0,8.46,
267,57,0,8.49,
233,52,0,8.52,
250,54,0,8.54,
253,51,0,8.57,
234,53,0,8.59,
233,52,0,8.62,
275,56,0,8.64,
230,52,0,8.66,
294,60,0,8.69,
303,61,0,8.72,
228,52,0,8.75,
294,59,0,8.78,
221,51,0,8.80,
247,54,0,8.83,
264,56,0,8.85,
253,54,0,8.87,
244,54,0,8.90,
228,51,0,8.92,
315,62,0,8.95,
348,66,0,8.97,
342,65,0,9.00,
374,67,0,9.04,
370,67,0,9.07,
404,70,0,9.11,
383,67,0,9.15,
340,65,0,9.18,
342,55,0,9.22,
269,58,0,9.26,
296,60,0,9.29,
307,61,0,9.31,
318,62,0,9.34,
329,64,0,9.37,
448,75,0,9.41,
299,60,0,9.44,
298,59,0,9.48,
280,58,0,9.51,
271,57,0,9.54,
261,56,0,9.57,
278,56,0,9.60,
274,59,0,9.62,
280,57,0,9.65,
276,56,0,9.68,
290,58,0,9.71,
251,54,0,9.73,
345,63,0,9.76,
311,58,0,9.79,
265,55,0,9.83,
277,56,0,9.86,
296,58,0,9.88,
296,58,0,9.91,
299,59,0,9.94,
313,59,0,9.97,
303,59,0,10.00,
216,50,0,10.03,
222,50,0,10.06,
239,52,0,10.08,
242,53,0,10.11,
232,51,0,10.13,
331,62,0,10.15,
310,60,0,10.18,
309,60,0,10.21,
309,60,0,10.24,
309,59,0,10.27,
274,56,0,10.30,
276,57,0,10.33,
282,57,0,10.36,
255,54,0,10.39,
360,65,0,10.41,
350,64,0,10.44,
346,62,0,10.47,
368,66,0,10.51,
321,55,0,10.54,
236,52,0,10.58,
334,64,0,10.60,
307,59,0,10.63,
297,58,0,10.67,
298,58,0,10.70,
278,56,0,10.73,
364,64,0,10.76,
342,62,0,10.79,
324,61,0,10.82,
333,61,0,10.86,
312,60,0,10.89,
319,61,0,10.92,
284,57,0,10.95,
282,58,0,10.99,
283,57,0,11.02,
273,56,0,11.04,
282,57,0,11.07,
291,58,0,11.10,
298,58,0,11.13,
229,51,0,11.16,
244,52,0,11.19,
311,60,0,11.21,
271,56,0,11.24,
273,57,0,11.27,
332,62,0,11.30,
326,62,0,11.33,
251,53,0,11.36,
259,54,0,11.39,
257,63,0,11.42,
268,55,0,11.45,
262,55,0,11.48,
359,65,0,11.50,
353,63,0,11.53,
321,61,0,11.57,
319,60,0,11.60,
312,60,0,11.63,
152,67,0,11.67,
141,85,0,11.69,
153,90,0,11.71,
142,86,0,11.72,
135,84,0,11.73,
133,84,0,11.75,
127,82,0,11.76,
141,85,0,11.77,
272,75,0,11.79,
254,72,0,11.81,
272,68,0,11.84,
315,68,0,11.86,
323,67,0,11.89,
317,67,0,11.92,
309,65,0,11.95,
291,64,0,11.99,
290,60,0,12.02,
258,60,0,12.04,
263,60,0,12.07,
261,60,0,12.10,
312,67,0,12.12,
229,56,0,12.15,
226,57,0,12.17,
288,63,0,12.20,
280,62,0,12.22,
252,60,0,12.25,
276,63,0,12.28,
282,63,0,12.30,
271,62,0,12.33,
277,62,0,12.36,
253,59,0,12.39,
269,61,0,12.42,
285,63,0,12.44,
283,63,0,12.47,
253,64,0,12.50,
266,67,0,12.52,
293,68,0,12.55,
293,67,0,12.58,
290,66,0,12.61,
293,66,0,12.64,
280,65,0,12.66,
280,65,0,12.69,
278,63,0,12.72,
269,63,0,12.75,
276,64,0,12.78,
282,64,0,12.81,
279,64,0,12.83,
250,49,0,12.86,
274,63,0,12.89,
334,69,0,12.91,
274,63,0,12.94,
280,63,0,12.97,
258,61,0,13.00,
218,54,0,13.02,
207,56,0,13.05,
332,70,0,13.07,
323,69,0,13.10,
298,66,0,13.13,
283,65,0,13.16,
306,67,0,13.19,
306,67,0,13.22,
296,65,0,13.25,
288,65,0,13.28,
273,64,0,13.31,
267,62,0,13.34,
200,64,0,13.37,
218,56,0,13.39,
219,57,0,13.41,
224,56,0,13.44,
235,58,0,13.46,
257,69,0,13.48,
300,67,0,13.50,
287,64,0,13.53,
268,64,0,13.56,
275,64,0,13.59,
273,63,0,13.62,
294,66,0,13.65,
288,65,0,13.67,
240,64,0,13.70,
190,74,0,13.73,
270,74,0,13.76,
271,76,0,13.78,
224,67,0,13.81,
293,78,0,13.83,
296,76,0,13.86,
236,68,0,13.89,
296,76,0,13.92,
295,75,0,13.94,
267,72,0,13.97,
254,70,0,14.00,
249,70,0,14.03,
250,69,0,14.05,
245,69,0,14.08,
239,68,0,14.10,
246,70,0,14.13,
271,72,0,14.15,
276,73,0,14.18,
286,75,0,14.20,
295,78,0,14.23,
322,79,0,14.26,
338,78,0,14.29,
331,75,0,14.32,
301,73,0,14.36,
278,68,0,14.39,
234,67,0,14.42,
256,70,0,14.45,
253,71,0,14.47,
252,70,0,14.50,
303,76,0,14.52,
261,72,0,14.55,
271,71,0,14.57,
265,73,0,14.60,
280,72,0,14.62,
258,70,0,14.65,
252,69,0,14.68,
316,78,0,14.70,
295,77,0,14.73,
295,76,0,14.76,
288,75,0,14.79,
