
RIDE SUMMARY,
Total Time, 42.7, Minutes, 
Total Distance, 26.61, MI, 
AVG Power, 312, 
MAX Power, 534, 
AVG RPM, 72, 
MAX RPM, 101, 
AVG HR, 137, 
MAX HR, 166, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time,  0.0, Minutes, 
Total Distance, 0.00, MI, 
AVG Power, 0, 
MAX Power, 0, 
AVG HR, 0, 
MAX HR, 0, 

STAGE_2_SUMMARY,
Stage Time, 42.0, Minutes, 
Total Distance, 26.35, MI, 
AVG Power, 314, 
MAX Power, 534, 
AVG HR, 138, 
MAX HR, 166, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
170,89,0,0.00,
173,90,0,0.00,
173,89,0,0.02,
157,85,0,0.04,
144,81,0,0.06,
185,93,0,0.07,
227,90,0,0.09,
220,87,73,0.11,
209,86,72,0.13,
208,85,71,0.15,
205,85,71,0.17,
216,84,79,0.19,
187,81,84,0.21,
196,82,87,0.23,
202,81,87,0.25,
241,90,87,0.27,
237,89,87,0.29,
237,89,89,0.31,
177,77,89,0.34,
217,94,90,0.36,
221,96,93,0.38,
209,95,96,0.40,
220,95,100,0.43,
224,92,102,0.45,
226,95,102,0.47,
238,97,102,0.49,
222,92,101,0.52,
221,91,101,0.54,
222,94,101,0.56,
253,97,101,0.58,
264,97,101,0.61,
246,95,101,0.63,
245,94,102,0.66,
238,93,104,0.68,
221,89,104,0.71,
217,89,107,0.73,
217,88,109,0.75,
225,90,112,0.78,
238,93,112,0.80,
236,91,114,0.82,
253,92,115,0.84,
252,92,114,0.87,
240,93,108,0.89,
243,92,105,0.92,
239,90,101,0.94,
235,91,101,0.97,
254,94,102,0.99,
263,96,103,1.01,
242,95,103,1.04,
257,95,105,1.06,
192,80,104,1.09,
214,83,102,1.12,
284,101,101,1.14,
284,101,99,1.16,
307,101,99,1.19,
291,100,99,1.21,
291,98,100,1.24,
275,94,104,1.27,
261,92,105,1.30,
244,90,104,1.33,
248,89,102,1.36,
253,90,100,1.38,
304,100,98,1.41,
276,95,97,1.43,
267,93,93,1.46,
265,92,91,1.48,
252,90,92,1.51,
247,91,93,1.54,
265,93,95,1.56,
279,96,97,1.59,
292,98,97,1.61,
284,97,106,1.64,
268,94,111,1.67,
273,95,115,1.70,
267,93,119,1.72,
258,92,121,1.75,
266,94,123,1.78,
280,97,124,1.80,
258,97,125,1.83,
271,96,126,1.86,
239,99,126,1.89,
277,95,127,1.91,
251,92,127,1.94,
250,90,128,1.97,
242,90,127,1.99,
243,92,127,2.02,
246,91,126,2.04,
450,61,126,2.07,
316,67,126,2.09,
291,64,127,2.13,
287,63,128,2.16,
264,61,129,2.19,
283,64,131,2.22,
330,69,130,2.24,
279,63,128,2.27,
280,64,127,2.30,
301,64,128,2.33,
330,66,129,2.36,
261,60,129,2.39,
266,55,130,2.42,
291,62,129,2.45,
374,70,129,2.47,
339,67,130,2.50,
334,64,131,2.54,
302,63,135,2.58,
313,65,136,2.61,
329,66,137,2.64,
310,64,138,2.67,
382,66,138,2.70,
383,72,137,2.74,
292,62,137,2.77,
309,64,136,2.81,
318,65,134,2.84,
304,63,132,2.87,
298,63,130,2.90,
299,63,129,2.93,
304,72,128,2.96,
307,64,128,2.99,
305,63,128,3.02,
298,63,128,3.05,
257,59,129,3.08,
281,61,131,3.11,
299,64,133,3.14,
315,65,134,3.17,
299,64,134,3.20,
315,65,134,3.23,
345,68,133,3.26,
384,71,133,3.29,
286,62,133,3.32,
360,70,133,3.36,
351,69,132,3.39,
280,61,132,3.42,
288,62,132,3.46,
293,64,133,3.49,
350,69,132,3.51,
347,67,131,3.55,
261,59,131,3.58,
355,69,131,3.61,
327,66,132,3.64,
300,63,133,3.68,
346,68,134,3.71,
339,66,135,3.74,
332,67,135,3.77,
331,66,137,3.80,
297,59,137,3.84,
277,60,138,3.87,
307,62,138,3.90,
316,63,138,3.92,
314,62,138,3.95,
307,62,138,3.99,
315,63,137,4.02,
348,65,137,4.05,
291,59,137,4.08,
288,60,138,4.11,
327,63,138,4.14,
315,63,138,4.17,
294,61,138,4.20,
