
RIDE SUMMARY,
Total Time, 31.7, Minutes, 
Total Distance, 17.73, MI, 
AVG Power, 285, 
MAX Power, 515, 
AVG RPM, 66, 
MAX RPM, 95, 
AVG HR, 139, 
MAX HR, 162, 
CAL, 0, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
98,76,0,0.00,
100,76,0,0.00,
102,84,0,0.01,
120,84,0,0.02,
112,79,0,0.03,
109,79,0,0.05,
107,81,0,0.06,
151,94,37,0.07,
204,75,37,0.08,
213,80,75,0.10,
216,79,75,0.12,
220,81,77,0.14,
203,75,78,0.16,
196,74,78,0.18,
201,74,77,0.20,
199,74,74,0.22,
188,72,73,0.24,
194,71,72,0.26,
198,72,72,0.28,
191,72,74,0.30,
200,73,77,0.32,
179,69,80,0.34,
179,69,81,0.36,
184,73,81,0.38,
211,77,80,0.40,
215,81,80,0.41,
222,79,80,0.44,
220,77,80,0.46,
214,77,81,0.48,
213,78,81,0.50,
209,76,81,0.52,
219,78,81,0.54,
217,76,81,0.57,
209,76,81,0.59,
214,77,81,0.61,
219,78,81,0.63,
218,77,82,0.65,
213,77,82,0.67,
216,76,93,0.69,
213,78,105,0.72,
215,78,115,0.74,
230,79,126,0.76,
212,78,124,0.78,
211,77,124,0.80,
206,77,124,0.82,
220,76,124,0.85,
207,77,123,0.87,
224,70,123,0.89,
220,67,123,0.91,
216,67,122,0.93,
200,64,123,0.95,
225,70,123,0.97,
234,71,122,1.00,
256,69,124,1.02,
240,68,125,1.04,
219,59,125,1.07,
285,75,126,1.09,
215,63,126,1.11,
226,66,127,1.14,
244,68,127,1.16,
238,66,128,1.18,
264,72,128,1.21,
283,73,128,1.23,
287,75,128,1.26,
295,74,128,1.29,
268,72,130,1.32,
256,69,131,1.35,
242,67,132,1.37,
198,61,131,1.40,
208,62,131,1.42,
36,25,130,1.44,
36,25,129,1.46,
238,67,129,1.46,
280,70,120,1.46,
273,68,116,1.48,
300,71,110,1.51,
344,69,110,1.54,
292,62,111,1.57,
381,66,112,1.60,
296,57,113,1.63,
316,57,115,1.67,
321,58,118,1.70,
256,51,120,1.73,
268,53,123,1.76,
289,54,123,1.79,
296,56,123,1.81,
332,59,123,1.84,
318,58,124,1.87,
406,69,126,1.91,
371,62,128,1.94,
330,64,129,1.98,
270,56,130,2.01,
295,74,131,2.04,
286,73,131,2.07,
275,71,132,2.10,
249,64,133,2.13,
264,70,133,2.15,
275,70,133,2.18,
291,72,0,2.20,
238,59,136,2.23,
286,59,137,2.26,
306,60,138,2.29,
295,59,137,2.32,
275,56,137,2.35,
250,54,136,2.37,
338,54,136,2.40,
364,55,137,2.43,
326,50,137,2.46,
282,51,138,2.50,
251,52,139,2.53,
345,62,139,2.55,
321,59,138,2.58,
241,51,138,2.62,
302,57,136,2.64,
250,52,135,2.67,
271,54,136,2.70,
262,51,135,2.72,
254,53,134,2.75,
329,77,131,2.78,
311,75,127,2.80,
297,73,123,2.83,
296,72,118,2.86,
286,72,117,2.89,
287,72,115,2.92,
289,72,113,2.95,
289,72,112,2.98,
285,72,112,3.01,
286,69,112,3.04,
361,82,114,3.07,
353,81,117,3.09,
338,79,118,3.13,
327,78,130,3.17,
334,62,136,3.20,
270,56,139,3.23,
283,57,141,3.26,
275,58,143,3.29,
306,49,144,3.32,
384,56,144,3.35,
311,50,144,3.38,
250,61,145,3.42,
303,59,145,3.45,
324,58,145,3.48,
267,52,145,3.51,
297,57,145,3.54,
326,59,146,3.56,
316,59,146,3.59,
335,60,147,3.63,
326,59,146,3.66,
312,57,146,3.69,
316,58,145,3.72,
296,56,145,3.76,
282,55,145,3.79,
269,54,144,3.82,
270,54,144,3.84,
265,54,145,3.87,
265,53,145,3.90,
284,55,145,3.93,
284,55,146,3.95,
291,56,146,3.98,
276,66,146,4.01,
280,66,144,4.04,
282,67,143,4.07,
375,79,141,4.09,
300,70,141,4.12,
313,71,142,4.16,
334,72,143,4.19,
305,70,143,4.22,
315,68,0,4.25,
272,46,144,4.28,
378,54,145,4.32,
316,50,145,4.35,
303,49,145,4.39,
300,48,146,4.42,
315,50,147,4.45,
321,51,147,4.48,
324,50,147,4.51,
283,45,147,4.54,
306,49,148,4.58,
310,50,148,4.60,
239,43,148,4.64,
207,45,147,4.67,
302,55,147,4.69,
305,55,147,4.71,
301,56,147,4.74,
334,58,147,4.77,
298,55,147,4.80,
304,56,146,4.84,
306,56,146,4.87,
296,55,145,4.90,
297,56,146,4.93,
278,53,145,4.96,
280,54,145,4.99,
303,56,146,5.01,
286,53,146,5.04,
283,54,147,5.07,
310,54,147,5.10,
318,55,148,5.13,
439,66,148,5.16,
246,49,149,5.19,
291,53,149,5.23,
292,53,149,5.25,
280,52,149,5.28,
289,53,149,5.31,
242,48,149,5.34,
255,49,150,5.37,
200,43,150,5.40,
260,55,150,5.42,
297,53,150,5.44,
375,70,150,5.47,
326,56,150,5.50,
317,55,150,5.54,
314,54,150,5.58,
336,57,149,5.61,
315,55,148,5.64,
325,56,148,5.67,
315,55,147,5.70,
312,55,147,5.74,
286,52,148,5.77,
304,54,148,5.80,
304,54,0,5.83,
302,54,147,5.86,
338,57,147,5.89,
327,55,148,5.92,
314,55,148,5.96,
300,54,148,5.99,
350,58,148,6.02,
352,59,148,6.05,
323,55,149,6.08,
295,54,150,6.11,
334,57,150,6.15,
343,58,150,6.18,
367,60,150,6.21,
341,56,150,6.24,
311,55,150,6.28,
250,54,151,6.31,
288,58,152,6.34,
242,61,151,6.37,
288,75,150,6.40,
287,74,150,6.42,
295,74,149,6.45,
275,73,147,6.48,
296,74,147,6.51,
297,75,147,6.54,
302,76,145,6.57,
301,76,146,6.60,
295,75,146,6.63,
293,74,146,6.66,
292,75,147,6.69,
