
RIDE SUMMARY,
Total Time, 50.0, Minutes, 
Total Distance, 32.63, MI, 
AVG Power, 329, 
MAX Power, 599, 
AVG RPM, 68, 
MAX RPM, 101, 
AVG HR, 123, 
MAX HR, 153, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 46.0, Minutes, 
Total Distance, 31.16, MI, 
AVG Power, 339, 
MAX Power, 599, 
AVG HR, 125, 
MAX HR, 153, 

STAGE_2_SUMMARY,
Stage Time,  0.4, Minutes, 
Total Distance, 0.00, MI, 
AVG Power, 9, 
MAX Power, 19, 
AVG HR, 98, 
MAX HR, 100, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
221,75,0,0.00,
228,76,0,0.01,
233,76,0,0.03,
232,75,0,0.05,
219,72,0,0.08,
194,69,0,0.10,
179,66,37,0.12,
239,70,75,0.14,
193,68,76,0.16,
189,68,77,0.18,
189,68,77,0.20,
226,75,77,0.22,
194,69,77,0.24,
193,69,78,0.26,
189,68,80,0.28,
193,69,83,0.30,
192,68,84,0.32,
149,60,85,0.34,
198,70,88,0.36,
195,77,93,0.38,
193,69,97,0.40,
198,70,97,0.42,
198,71,104,0.44,
213,71,105,0.46,
196,70,105,0.48,
208,72,105,0.50,
221,75,105,0.52,
172,64,104,0.54,
233,75,104,0.56,
233,75,104,0.58,
222,73,104,0.61,
220,73,105,0.63,
227,74,105,0.65,
232,75,106,0.67,
227,74,107,0.70,
227,74,107,0.72,
232,75,106,0.74,
224,72,106,0.77,
207,70,106,0.79,
213,71,106,0.81,
213,72,107,0.83,
211,71,107,0.85,
207,70,107,0.87,
200,69,107,0.89,
194,70,0,0.91,
190,68,105,0.93,
185,67,104,0.95,
191,70,103,0.97,
205,71,103,0.99,
200,70,0,1.01,
132,56,0,1.03,
30,27,100,1.05,
31,28,99,1.07,
220,75,99,1.07,
221,75,99,1.08,
230,76,99,1.10,
241,78,99,1.12,
242,78,99,1.15,
258,78,100,1.17,
257,78,101,1.20,
252,77,101,1.22,
246,76,103,1.25,
250,78,103,1.27,
257,80,104,1.30,
267,80,105,1.32,
279,81,107,1.35,
265,80,107,1.38,
259,80,109,1.40,
262,80,110,1.43,
254,78,111,1.46,
444,79,110,1.48,
355,69,110,1.50,
336,67,111,1.54,
315,67,111,1.58,
281,52,116,1.61,
337,68,118,1.64,
301,59,120,1.67,
260,60,123,1.70,
292,63,126,1.72,
255,59,128,1.75,
303,64,129,1.78,
291,63,130,1.81,
250,58,130,1.83,
242,57,130,1.86,
252,60,131,1.89,
291,63,133,1.91,
258,59,134,1.94,
267,61,134,1.97,
274,62,133,1.99,
282,62,133,2.02,
271,61,133,2.05,
270,61,133,2.08,
265,60,133,2.10,
314,66,133,2.13,
325,68,133,2.16,
358,71,132,2.19,
297,64,131,2.22,
487,82,130,2.25,
315,67,130,2.28,
315,65,130,2.33,
295,64,130,2.36,
289,70,130,2.39,
295,64,130,2.42,
314,65,129,2.45,
303,66,129,2.48,
321,68,129,2.51,
268,61,130,2.54,
269,62,132,2.58,
293,64,132,2.60,
319,67,132,2.63,
246,58,133,2.66,
356,68,133,2.69,
327,67,132,2.72,
337,67,132,2.75,
314,65,131,2.79,
295,64,131,2.82,
350,67,131,2.85,
277,62,131,2.88,
335,68,132,2.92,
315,65,132,2.95,
300,64,132,2.98,
292,63,132,3.01,
300,64,132,3.04,
300,64,132,3.07,
292,63,133,3.10,
306,64,133,3.13,
291,63,133,3.16,
292,63,134,3.19,
318,67,134,3.22,
332,67,134,3.25,
308,65,134,3.29,
341,68,135,3.32,
322,67,135,3.35,
314,71,135,3.38,
230,55,135,3.42,
386,74,135,3.45,
272,62,135,3.47,
296,64,135,3.51,
297,64,135,3.54,
279,62,135,3.57,
261,59,135,3.60,
322,67,135,3.62,
313,66,135,3.65,
287,63,135,3.68,
290,64,135,3.71,
304,65,136,3.74,
306,68,136,3.77,
270,61,135,3.80,
292,63,135,3.83,
311,66,134,3.86,
309,66,134,3.89,
305,66,134,3.92,
363,72,134,3.95,
291,62,134,3.98,
360,70,135,4.02,
276,79,136,4.05,
301,62,136,4.08,
319,64,136,4.12,
337,67,136,4.15,
354,68,136,4.18,
347,69,136,4.22,
370,69,137,4.25,
364,69,138,4.29,
367,70,138,4.32,
335,66,138,4.36,
316,64,138,4.40,
290,62,138,4.43,
343,67,138,4.46,
356,65,138,4.49,
280,58,139,4.53,
350,65,139,4.56,
358,65,139,4.59,
362,66,139,4.63,
342,63,139,4.67,
325,61,139,4.70,
266,56,139,4.74,
299,71,139,4.77,
238,52,140,4.80,
292,59,141,4.83,
309,60,143,4.86,
323,61,143,4.89,
465,75,0,4.92,
308,61,143,4.95,
321,62,142,4.99,
262,66,141,5.02,
378,67,139,5.05,
390,56,139,5.09,
268,56,140,5.13,
267,56,140,5.16,
269,56,141,5.18,
353,65,141,5.21,
333,63,141,5.24,
331,63,0,5.28,
329,62,141,5.31,
304,60,141,5.34,
287,59,142,5.37,
305,61,142,5.41,
416,67,0,5.43,
346,64,141,5.47,
370,63,141,5.51,
383,64,140,5.54,
417,66,140,5.58,
411,66,140,5.62,
380,64,140,5.66,
372,58,139,5.70,
317,58,139,5.74,
313,57,139,5.78,
300,53,140,5.81,
259,53,140,5.84,
348,61,141,5.87,
332,58,142,5.90,
382,64,143,5.93,
354,61,143,5.96,
304,57,143,6.00,
296,55,144,6.03,
284,55,144,6.06,
305,57,144,6.09,
321,58,144,6.12,
321,60,144,6.15,
407,66,144,6.18,
405,65,143,6.22,
376,63,143,6.26,
312,57,143,6.30,
317,58,143,6.34,
317,55,143,6.37,
342,60,143,6.40,
404,64,143,6.43,
351,61,143,6.47,
386,59,143,6.50,
330,58,143,6.54,
328,59,143,6.58,
353,61,142,6.61,
342,60,142,6.64,
