
RIDE SUMMARY,
Total Time,  7.7, Minutes, 
Total Distance, 2.62, MI, 
AVG Power, 177, 
MAX Power, 255, 
AVG RPM, 63, 
MAX RPM, 87, 
AVG HR, 0, 
MAX HR, 0, 
CAL, 0, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
34,87,0,0.00,
154,77,0,0.00,
157,78,0,0.02,
157,77,0,0.03,
153,76,0,0.05,
146,75,0,0.07,
164,76,0,0.08,
193,74,0,0.10,
189,73,0,0.12,
180,72,0,0.13,
180,72,0,0.15,
180,72,0,0.17,
179,71,0,0.19,
172,70,0,0.21,
167,69,0,0.22,
167,69,0,0.24,
166,68,0,0.26,
163,68,0,0.27,
158,67,0,0.29,
158,68,0,0.31,
163,68,0,0.33,
167,69,0,0.34,
166,68,0,0.36,
158,67,0,0.38,
157,67,0,0.39,
164,68,0,0.41,
160,68,0,0.43,
166,68,0,0.44,
194,76,0,0.46,
194,76,0,0.48,
188,75,0,0.50,
182,73,0,0.51,
179,73,0,0.53,
175,72,0,0.55,
176,72,0,0.57,
178,72,0,0.59,
189,72,0,0.60,
189,72,0,0.62,
184,71,0,0.64,
184,71,0,0.66,
179,70,0,0.67,
169,70,0,0.69,
174,69,0,0.71,
172,68,0,0.73,
165,68,0,0.74,
173,69,0,0.76,
173,70,0,0.78,
171,72,0,0.80,
180,71,0,0.81,
175,70,0,0.83,
255,69,0,0.85,
204,52,0,0.87,
202,54,0,0.89,
249,58,0,0.90,
246,56,0,0.92,
209,53,0,0.94,
157,57,0,0.96,
147,44,0,0.98,
224,50,0,1.00,
195,64,0,1.02,
190,62,0,1.03,
178,60,0,1.05,
164,59,0,1.07,
167,58,0,1.09,
153,57,0,1.10,
160,57,0,1.12,
160,57,0,1.14,
158,57,0,1.15,
158,57,0,1.17,
203,65,0,1.19,
202,64,0,1.20,
197,63,0,1.22,
186,62,0,1.24,
180,60,0,1.26,
159,57,0,1.28,
166,59,0,1.29,
167,59,0,1.31,
170,60,0,1.33,
197,64,0,1.35,
186,62,0,1.36,
175,60,0,1.38,
175,61,0,1.40,
181,62,0,1.42,
186,62,0,1.43,
177,62,0,1.45,
183,65,0,1.47,
197,68,0,1.49,
195,67,0,1.51,
183,64,0,1.52,
195,67,0,1.54,
195,67,0,1.56,
195,67,0,1.58,
195,67,0,1.60,
195,68,0,1.61,
206,69,0,1.63,
206,69,0,1.65,
215,68,0,1.67,
215,68,0,1.69,
215,68,0,1.71,
214,67,0,1.72,
215,68,0,1.74,
215,68,0,1.76,
202,65,0,1.78,
191,63,0,1.80,
187,63,0,1.82,
192,64,0,1.84,
192,64,0,1.85,
192,64,0,1.87,
191,64,0,1.89,
197,65,0,1.91,
191,64,0,1.93,
191,64,0,1.94,
186,63,0,1.96,
181,62,0,1.98,
181,62,0,2.00,
181,62,0,2.02,
175,61,0,2.03,
170,60,0,2.05,
181,62,0,2.07,
186,63,0,2.09,
185,62,0,2.10,
175,61,0,2.12,
181,62,0,2.14,
181,62,0,2.16,
175,61,0,2.17,
181,62,0,2.19,
186,63,0,2.21,
187,63,0,2.23,
195,65,0,2.24,
194,65,0,2.26,
196,66,0,2.28,
200,66,0,2.30,
214,66,0,2.32,
213,66,0,2.34,
207,66,0,2.35,
206,65,0,2.37,
199,65,0,2.39,
204,66,0,2.41,
215,67,0,2.43,
215,67,0,2.45,
213,67,0,2.47,
208,66,0,2.48,
203,65,0,2.50,
203,65,0,2.52,
203,65,0,2.54,
62,35,0,2.56,
11,15,0,2.58,
4,9,0,2.59,
4,9,0,2.60,
1,5,0,2.60,
1,5,0,2.61,
0,5,0,2.61,
0,0,0,2.61,
