
RIDE SUMMARY,
Total Time, 58.9, Minutes, 
Total Distance, 23.81, MI, 
AVG Power, 284, 
MAX Power, 513, 
AVG RPM, 72, 
MAX RPM, 98, 
AVG HR, 150, 
MAX HR, 161, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time,  1.5, Minutes, 
Total Distance, 0.47, MI, 
AVG Power, 170, 
MAX Power, 252, 
AVG HR, 95, 
MAX HR, 107, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
56,69,0,0.00,
79,78,0,0.01,
188,80,0,0.02,
187,82,0,0.03,
182,80,39,0.05,
153,25,79,0.07,
49,38,79,0.09,
48,38,79,0.10,
123,68,80,0.11,
224,75,82,0.12,
238,76,83,0.14,
229,76,84,0.15,
232,75,84,0.17,
198,75,83,0.19,
203,77,83,0.21,
211,78,84,0.23,
214,77,88,0.25,
206,77,88,0.27,
199,75,95,0.29,
187,73,98,0.30,
192,72,101,0.32,
178,72,103,0.34,
188,72,104,0.36,
194,72,105,0.38,
172,70,106,0.39,
27,27,106,0.41,
28,27,106,0.43,
30,23,106,0.44,
200,77,107,0.45,
252,75,107,0.46,
224,72,107,0.47,
206,66,104,0.49,
210,67,102,0.51,
211,68,99,0.53,
275,76,97,0.55,
255,75,95,0.57,
249,74,96,0.59,
251,74,96,0.61,
244,72,98,0.63,
236,70,99,0.65,
220,69,101,0.67,
219,68,102,0.69,
251,70,104,0.71,
259,74,105,0.73,
253,73,106,0.74,
266,81,107,0.76,
294,80,109,0.78,
286,78,111,0.81,
275,77,111,0.83,
270,76,111,0.85,
265,75,112,0.87,
278,77,113,0.89,
284,78,115,0.91,
278,77,116,0.93,
278,77,119,0.95,
278,77,119,0.97,
278,77,123,0.99,
278,77,124,1.01,
259,77,124,1.03,
276,77,125,1.05,
275,77,125,1.07,
276,77,125,1.09,
276,77,126,1.11,
276,77,126,1.13,
268,76,127,1.15,
263,75,128,1.17,
261,75,128,1.20,
269,77,129,1.22,
271,77,130,1.24,
270,77,130,1.26,
269,77,130,1.28,
267,77,131,1.30,
267,77,131,1.32,
261,76,131,1.34,
261,76,132,1.36,
261,76,132,1.38,
262,76,133,1.40,
281,77,133,1.42,
265,77,134,1.44,
257,76,134,1.46,
261,77,134,1.48,
277,78,134,1.50,
272,79,134,1.52,
290,79,134,1.54,
277,78,134,1.56,
285,79,136,1.58,
287,79,136,1.60,
280,78,136,1.62,
275,77,137,1.64,
269,76,138,1.66,
269,76,138,1.68,
268,76,138,1.70,
273,77,137,1.72,
273,77,137,1.75,
279,79,137,1.77,
279,79,137,1.79,
272,78,137,1.81,
280,78,137,1.83,
272,80,137,1.85,
287,98,138,1.87,
319,98,138,1.89,
297,96,139,1.91,
288,94,139,1.93,
293,93,139,1.95,
294,92,140,1.97,
294,91,140,1.99,
291,91,140,2.01,
290,91,141,2.03,
297,92,141,2.06,
297,92,142,2.08,
297,92,142,2.10,
286,92,142,2.12,
291,92,143,2.14,
289,91,143,2.16,
274,89,143,2.18,
274,89,144,2.20,
275,89,144,2.22,
275,89,143,2.24,
298,94,143,2.26,
285,91,142,2.28,
277,90,142,2.31,
273,89,142,2.33,
272,89,142,2.35,
268,88,142,2.37,
268,88,143,2.39,
309,84,144,2.41,
278,83,145,2.43,
284,83,145,2.45,
297,83,145,2.47,
290,82,146,2.49,
270,82,146,2.51,
282,81,146,2.53,
282,81,147,2.55,
279,81,147,2.57,
278,81,147,2.59,
278,81,147,2.62,
283,82,147,2.64,
283,83,0,2.66,
286,83,147,2.68,
276,81,147,2.70,
274,81,146,2.72,
274,81,146,2.74,
280,82,146,2.76,
274,81,146,2.78,
274,81,146,2.80,
268,80,147,2.82,
269,81,147,2.84,
273,81,147,2.86,
275,81,147,2.88,
273,81,147,2.90,
320,81,146,2.92,
307,78,146,2.94,
297,78,146,2.97,
307,77,145,2.99,
307,77,145,3.01,
303,76,145,3.03,
304,77,145,3.05,
303,77,144,3.07,
300,77,144,3.09,
310,78,144,3.11,
310,78,144,3.14,
309,78,144,3.16,
296,76,144,3.18,
295,76,145,3.20,
300,76,145,3.22,
308,78,145,3.24,
332,81,145,3.26,
339,82,146,3.28,
332,81,146,3.31,
325,80,146,3.33,
317,79,146,3.35,
310,78,147,3.37,
307,78,147,3.39,
303,77,147,3.41,
303,77,147,3.44,
303,77,147,3.46,
303,77,147,3.48,
301,77,147,3.50,
309,78,146,3.52,
309,78,146,3.54,
301,77,146,3.56,
312,76,146,3.58,
299,77,146,3.61,
298,77,147,3.63,
298,77,147,3.65,
295,77,147,3.67,
294,76,148,3.69,
291,76,148,3.71,
287,76,148,3.73,
293,77,148,3.75,
313,77,148,3.77,
286,76,148,3.79,
285,76,148,3.82,
297,75,148,3.84,
297,75,148,3.86,
294,75,148,3.88,
294,75,147,3.90,
299,76,147,3.92,
286,77,147,3.94,
308,79,147,3.96,
324,80,147,3.98,
316,79,147,4.00,
310,78,147,4.03,
317,79,148,4.05,
325,80,149,4.07,
317,79,149,4.09,
317,79,150,4.11,
317,79,150,4.13,
316,79,150,4.16,
310,78,151,4.18,
303,77,151,4.20,
310,78,151,4.22,
328,81,151,4.24,
332,81,151,4.26,
324,80,150,4.28,
310,78,150,4.31,
310,78,150,4.33,
310,78,150,4.35,
302,77,150,4.37,
302,77,150,4.39,
308,78,151,4.41,
299,77,151,4.43,
295,76,150,4.46,
301,77,150,4.48,
308,78,150,4.50,
308,78,150,4.52,
308,78,150,4.54,
307,78,150,4.56,
298,76,150,4.58,
306,77,150,4.60,
318,79,151,4.63,
311,80,151,4.65,
307,79,151,4.67,
317,81,151,4.69,
313,80,151,4.71,
315,80,152,4.73,
326,79,152,4.75,
326,79,152,4.78,
311,80,153,4.80,
306,79,153,4.82,
282,77,153,4.84,
300,77,153,4.86,
298,77,153,4.88,
302,77,153,4.90,
302,77,153,4.93,
302,77,154,4.95,
296,76,154,4.97,
288,75,0,4.99,
281,74,154,5.01,
287,75,155,5.03,
280,74,155,5.05,
274,73,154,5.07,
274,73,154,5.09,
279,74,153,5.11,
288,75,152,5.13,
283,75,152,5.15,
300,77,152,5.18,
310,79,151,5.20,
308,78,151,5.22,
301,78,150,5.24,
319,78,150,5.26,
320,78,151,5.28,
320,78,151,5.30,
317,78,151,5.32,
302,77,151,5.35,
311,77,151,5.37,
288,77,151,5.39,
283,75,151,5.41,
310,77,151,5.43,
318,78,151,5.45,
300,77,151,5.47,
316,78,152,5.49,
316,78,152,5.52,
307,77,152,5.54,
302,77,152,5.56,
292,76,152,5.58,
296,76,151,5.60,
290,75,151,5.62,
290,75,150,5.64,
295,76,150,5.66,
290,75,149,5.68,
290,75,149,5.71,
296,76,150,5.73,
290,75,150,5.75,
289,75,151,5.77,
285,74,151,5.79,
283,74,151,5.81,
286,74,152,5.83,
293,76,152,5.85,
293,75,152,5.87,
290,75,152,5.89,
283,74,153,5.91,
283,74,153,5.94,
290,75,153,5.96,
307,77,153,5.98,
307,78,153,6.00,
311,78,153,6.02,
307,78,153,6.04,
309,78,153,6.06,
310,78,153,6.08,
310,78,153,6.10,
310,78,153,6.13,
307,78,153,6.15,
302,77,153,6.17,
302,77,153,6.19,
336,78,152,6.21,
371,85,152,6.23,
334,83,152,6.25,
317,79,152,6.28,
303,78,152,6.30,
305,78,152,6.32,
306,78,153,6.34,
303,78,153,6.36,
303,78,0,6.38,
303,78,153,6.41,
294,77,153,6.43,
295,76,153,6.45,
224,78,153,6.47,
263,83,0,6.49,
304,86,0,6.51,
306,86,152,6.53,
294,85,152,6.55,
311,86,151,6.57,
299,86,150,6.59,
288,96,149,6.61,
309,97,149,6.64,
311,97,149,6.66,
306,96,150,6.68,
306,96,151,6.70,
305,96,152,6.72,
301,95,153,6.74,
299,95,153,6.76,
295,94,154,6.78,
290,93,154,6.81,
288,93,155,6.83,
287,93,155,6.85,
281,92,156,6.87,
277,91,155,6.89,
282,92,155,6.91,
265,92,155,6.93,
277,91,155,6.95,
271,90,155,6.97,
272,91,155,6.99,
276,91,155,7.01,
268,90,155,7.03,
255,88,155,7.05,
251,87,154,7.07,
250,86,153,7.09,
305,88,153,7.11,
330,89,153,7.13,
322,89,153,7.15,
313,86,153,7.18,
306,85,153,7.20,
304,85,154,7.22,
294,84,155,7.24,
285,83,156,7.26,
281,82,156,7.28,
274,81,157,7.30,
273,81,157,7.32,
285,82,157,7.34,
303,84,156,7.36,
313,77,156,7.39,
313,77,156,7.41,
302,77,156,7.43,
303,76,156,7.45,
303,76,156,7.47,
310,77,156,7.49,
326,79,155,7.51,
316,78,155,7.53,
301,76,155,7.56,
299,76,155,7.58,
299,76,154,7.60,
300,76,154,7.62,
315,78,154,7.64,
315,78,156,7.66,
307,77,156,7.68,
300,76,157,7.71,
300,76,157,7.73,
300,76,157,7.75,
304,76,157,7.77,
300,76,157,7.79,
300,76,157,7.81,
299,76,158,7.83,
298,76,158,7.85,
303,76,158,7.87,
295,76,159,7.90,
290,75,158,7.92,
296,76,158,7.94,
296,76,158,7.96,
296,76,158,7.98,
304,76,158,8.00,
307,78,158,8.02,
308,78,158,8.04,
323,77,158,8.06,
320,77,157,8.09,
312,76,156,8.11,
308,75,156,8.13,
306,76,156,8.15,
306,75,156,8.17,
305,76,156,8.19,
305,76,156,8.21,
299,75,156,8.24,
299,75,157,8.26,
305,76,157,8.28,
304,77,157,8.30,
304,76,158,8.32,
303,76,158,8.34,
300,76,157,8.36,
321,78,157,8.38,
328,80,157,8.40,
331,80,157,8.43,
321,78,158,8.45,
320,78,158,8.47,
313,79,158,8.49,
319,79,157,8.51,
316,78,157,8.53,
303,77,156,8.56,
301,76,155,8.58,
298,76,155,8.60,
292,75,155,8.62,
291,75,155,8.64,
292,75,156,8.66,
295,75,156,8.68,
293,75,157,8.70,
293,76,157,8.73,
304,77,157,8.75,
304,77,158,8.77,
290,75,157,8.79,
290,75,157,8.81,
286,75,156,8.83,
290,75,156,8.85,
296,76,156,8.87,
292,75,156,8.89,
281,74,156,8.91,
