
RIDE SUMMARY,
Total Time, 50.0, Minutes, 
Total Distance, 20.32, MI, 
AVG Power, 316, 
MAX Power, 582, 
AVG RPM, 67, 
MAX RPM, 92, 
AVG HR, 142, 
MAX HR, 165, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 45.6, Minutes, 
Total Distance, -nan, MI, 
AVG Power, 327, 
MAX Power, 582, 
AVG HR, 145, 
MAX HR, 165, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
106,66,0,0.00,
153,71,0,0.01,
149,70,0,0.02,
148,70,0,0.04,
136,71,18,0.06,
144,68,57,0.07,
135,66,77,0.09,
76,25,79,0.10,
21,25,80,0.12,
42,75,81,0.13,
175,79,81,0.13,
185,79,81,0.15,
184,78,81,0.17,
179,77,82,0.18,
172,76,86,0.20,
167,74,88,0.22,
165,75,88,0.24,
164,74,92,0.25,
163,73,93,0.27,
155,71,93,0.29,
150,70,96,0.31,
149,70,98,0.32,
147,69,99,0.34,
142,68,100,0.35,
176,77,100,0.37,
175,77,98,0.39,
174,76,98,0.40,
171,76,98,0.42,
171,76,97,0.44,
171,76,98,0.46,
171,76,99,0.47,
167,75,99,0.49,
166,84,99,0.51,
166,75,99,0.53,
152,74,99,0.54,
167,73,99,0.56,
153,73,99,0.58,
161,76,101,0.59,
176,79,102,0.61,
178,78,105,0.63,
175,78,106,0.65,
173,78,106,0.66,
173,78,106,0.68,
173,77,106,0.70,
168,77,106,0.72,
169,78,106,0.73,
227,80,107,0.75,
230,79,107,0.77,
219,77,108,0.79,
211,76,108,0.81,
211,76,110,0.83,
203,76,110,0.84,
211,76,110,0.86,
217,78,110,0.88,
221,78,110,0.90,
220,78,112,0.92,
294,92,113,0.94,
280,90,113,0.96,
280,89,115,0.98,
277,89,115,1.00,
269,89,116,1.02,
268,88,117,1.04,
273,89,119,1.06,
300,90,119,1.08,
306,91,119,1.10,
299,89,119,1.12,
295,89,120,1.14,
294,88,121,1.17,
311,88,124,1.19,
279,86,125,1.21,
276,86,126,1.23,
270,85,126,1.25,
269,84,126,1.27,
270,85,127,1.29,
270,86,127,1.31,
275,85,128,1.33,
270,86,128,1.35,
275,85,128,1.37,
270,85,129,1.39,
271,86,130,1.41,
282,88,132,1.43,
287,88,132,1.45,
285,87,133,1.47,
280,86,133,1.49,
276,86,134,1.52,
276,86,134,1.54,
281,87,134,1.56,
287,88,135,1.58,
281,87,135,1.60,
281,87,135,1.62,
281,87,135,1.64,
281,87,135,1.66,
280,87,135,1.68,
292,89,135,1.70,
294,89,135,1.72,
290,88,135,1.74,
280,86,135,1.76,
276,86,135,1.78,
276,86,135,1.81,
316,88,135,1.83,
317,88,135,1.85,
306,86,136,1.87,
297,86,137,1.89,
307,86,136,1.91,
293,85,136,1.93,
300,85,136,1.95,
286,84,137,1.97,
288,84,137,1.99,
301,84,137,2.02,
299,83,137,2.04,
295,83,137,2.06,
295,83,137,2.08,
301,84,137,2.10,
301,84,137,2.12,
300,84,137,2.14,
300,84,137,2.16,
307,85,137,2.18,
308,86,137,2.21,
313,86,137,2.23,
309,86,137,2.25,
311,85,137,2.27,
307,85,137,2.29,
322,83,138,2.31,
340,75,138,2.33,
340,75,138,2.36,
332,74,138,2.38,
332,74,138,2.40,
332,74,138,2.42,
349,72,139,2.44,
379,63,139,2.47,
364,62,139,2.49,
354,61,139,2.51,
350,61,138,2.54,
321,58,138,2.56,
308,56,138,2.58,
300,55,141,2.60,
300,57,141,2.62,
311,58,144,2.64,
334,60,149,2.66,
346,62,159,2.69,
365,62,162,2.71,
365,61,162,2.73,
340,59,165,2.75,
326,56,164,2.78,
299,55,164,2.80,
281,54,164,2.82,
270,62,164,2.84,
347,69,163,2.86,
345,68,162,2.88,
327,66,160,2.90,
315,66,156,2.93,
319,66,148,2.95,
319,66,148,2.97,
311,65,145,2.99,
311,65,141,3.01,
363,51,141,3.03,
267,52,141,3.06,
292,54,140,3.08,
322,57,140,3.10,
338,55,139,3.12,
358,59,139,3.14,
344,56,139,3.16,
316,55,140,3.18,
298,54,141,3.21,
320,56,141,3.23,
267,51,141,3.25,
327,52,142,3.27,
338,57,142,3.29,
300,50,142,3.31,
338,57,143,3.33,
327,56,143,3.36,
318,61,142,3.38,
360,70,142,3.40,
342,68,142,3.42,
322,64,141,3.44,
307,65,141,3.47,
316,66,0,3.49,
323,66,141,3.51,
407,57,140,3.53,
343,56,140,3.55,
331,54,141,3.57,
321,54,141,3.60,
321,54,142,3.62,
329,54,142,3.64,
297,51,143,3.66,
288,52,143,3.68,
352,56,144,3.70,
260,56,144,3.73,
291,52,144,3.75,
302,53,145,3.77,
270,54,145,3.79,
288,67,145,3.81,
313,72,144,3.83,
328,70,144,3.85,
320,69,143,3.87,
339,71,143,3.90,
340,69,143,3.92,
306,67,141,3.94,
401,55,141,3.96,
331,55,140,3.98,
317,53,140,4.01,
308,54,141,4.03,
300,53,141,4.05,
300,52,141,4.07,
308,53,143,4.09,
314,53,142,4.11,
298,52,143,4.13,
317,53,144,4.16,
270,50,144,4.18,
287,51,144,4.20,
326,55,144,4.22,
309,56,143,4.24,
337,54,143,4.26,
330,54,142,4.28,
319,54,141,4.30,
329,54,141,4.33,
325,56,140,4.35,
341,56,139,4.37,
338,49,139,4.39,
242,72,138,4.41,
329,72,138,4.43,
328,70,136,4.46,
312,67,135,4.48,
301,67,135,4.50,
303,68,136,4.52,
304,69,136,4.54,
299,69,137,4.56,
307,68,0,4.58,
308,69,138,4.61,
316,70,138,4.63,
324,70,138,4.65,
323,69,138,4.67,
315,69,139,4.69,
314,68,141,4.71,
306,67,142,4.73,
295,68,143,4.76,
309,69,142,4.78,
314,69,143,4.80,
314,69,144,4.82,
314,69,144,4.84,
321,69,144,4.86,
316,69,143,4.88,
323,70,139,4.91,
323,70,137,4.93,
324,70,135,4.95,
324,70,134,4.97,
305,70,134,4.99,
320,70,135,5.01,
321,71,136,5.04,
327,70,136,5.06,
317,69,137,5.08,
310,68,137,5.10,
304,68,137,5.12,
407,55,138,5.14,
313,56,139,5.17,
327,57,139,5.19,
334,57,138,5.21,
310,54,137,5.23,
297,55,136,5.25,
301,54,135,5.27,
309,54,135,5.30,
298,54,137,5.32,
308,58,137,5.34,
328,55,139,5.36,
316,55,141,5.38,
240,61,143,5.40,
346,73,145,5.42,
362,72,146,5.44,
352,71,147,5.47,
344,70,147,5.49,
331,70,147,5.51,
333,69,145,5.53,
318,68,143,5.55,
305,69,142,5.58,
331,70,140,5.60,
430,61,140,5.62,
402,57,141,5.64,
356,55,141,5.67,
