
RIDE SUMMARY,
Total Time, 47.3, Minutes, 
Total Distance, 19.54, MI, 
AVG Power, 287, 
MAX Power, 540, 
AVG RPM, 66, 
MAX RPM, 105, 
AVG HR, 132, 
MAX HR, 149, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 45.0, Minutes, 
Total Distance, 18.77, MI, 
AVG Power, 293, 
MAX Power, 540, 
AVG HR, 133, 
MAX HR, 149, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
184,70,0,0.00,
189,71,0,0.01,
189,71,0,0.02,
177,67,0,0.04,
164,65,0,0.06,
157,65,37,0.08,
169,67,77,0.09,
132,72,78,0.11,
198,86,81,0.13,
190,84,84,0.14,
180,80,87,0.16,
163,77,88,0.18,
162,76,91,0.20,
156,75,93,0.21,
156,75,97,0.23,
159,76,97,0.25,
159,77,98,0.26,
177,80,98,0.28,
175,80,98,0.30,
175,80,99,0.32,
174,79,99,0.33,
167,78,100,0.35,
179,79,101,0.37,
169,79,102,0.39,
162,77,102,0.40,
153,74,103,0.42,
150,74,103,0.44,
154,75,103,0.45,
154,75,103,0.47,
151,74,102,0.49,
151,74,100,0.50,
151,75,100,0.52,
154,75,99,0.54,
154,75,99,0.55,
154,75,100,0.57,
196,86,100,0.59,
192,85,99,0.60,
204,83,98,0.62,
180,80,97,0.64,
185,81,96,0.66,
218,79,96,0.68,
210,78,97,0.69,
226,78,99,0.71,
208,78,101,0.73,
213,79,103,0.75,
230,79,103,0.77,
292,66,103,0.79,
334,62,103,0.81,
269,58,104,0.83,
250,55,106,0.85,
235,54,107,0.87,
260,57,107,0.89,
277,59,107,0.91,
275,58,110,0.93,
258,56,111,0.95,
243,55,115,0.97,
253,57,116,0.99,
211,51,116,1.01,
235,59,116,1.03,
275,58,116,1.05,
260,57,117,1.07,
250,55,117,1.09,
251,57,117,1.11,
258,56,117,1.13,
241,54,118,1.15,
219,52,118,1.17,
235,54,119,1.19,
233,54,120,1.21,
235,54,121,1.23,
236,55,121,1.25,
196,49,121,1.27,
204,51,122,1.29,
220,53,122,1.31,
235,54,123,1.32,
228,54,123,1.34,
236,54,123,1.36,
243,55,123,1.38,
285,55,123,1.40,
268,54,123,1.42,
266,53,122,1.44,
266,54,122,1.46,
264,53,122,1.48,
257,53,121,1.50,
259,59,122,1.52,
212,59,122,1.54,
256,66,122,1.56,
271,66,122,1.58,
271,66,122,1.60,
264,65,122,1.62,
279,65,122,1.64,
263,65,123,1.66,
256,64,124,1.68,
348,62,125,1.70,
275,56,125,1.72,
274,56,124,1.75,
286,57,123,1.77,
301,59,124,1.79,
335,62,125,1.81,
342,61,127,1.83,
275,55,128,1.85,
273,55,129,1.87,
285,56,129,1.89,
258,52,129,1.91,
322,57,129,1.94,
228,49,130,1.96,
284,54,130,1.98,
283,55,131,2.00,
224,49,131,2.02,
296,56,131,2.04,
286,55,131,2.06,
283,53,131,2.08,
267,53,130,2.10,
248,51,130,2.12,
313,57,130,2.14,
248,51,130,2.16,
251,52,129,2.18,
276,54,129,2.20,
267,54,129,2.22,
252,51,129,2.24,
256,52,130,2.26,
293,55,129,2.28,
253,62,129,2.30,
307,68,129,2.32,
305,67,130,2.34,
275,64,130,2.36,
267,63,130,2.38,
271,64,130,2.41,
257,61,129,2.43,
242,59,129,2.45,
267,58,129,2.47,
262,57,129,2.49,
267,58,129,2.51,
258,57,129,2.53,
242,56,128,2.55,
250,56,128,2.57,
304,60,128,2.59,
294,60,129,2.61,
276,60,130,2.63,
274,58,131,2.65,
256,56,131,2.67,
257,57,131,2.69,
265,58,130,2.71,
274,60,130,2.73,
282,60,129,2.75,
243,55,129,2.77,
241,54,129,2.79,
291,63,129,2.81,
313,59,129,2.83,
236,58,129,2.85,
255,60,129,2.87,
271,61,129,2.89,
279,62,128,2.91,
271,61,128,2.93,
271,61,128,2.95,
288,63,128,2.97,
296,64,129,2.99,
288,63,129,3.01,
278,61,129,3.03,
255,59,129,3.06,
247,58,129,3.08,
255,59,129,3.10,
255,59,129,3.12,
263,60,129,3.14,
280,62,130,3.16,
