
RIDE SUMMARY,
Total Time, 47.6, Minutes, 
Total Distance, 12.88, MI, 
AVG Power, 112, 
MAX Power, 315, 
AVG RPM, 79, 
MAX RPM, 132, 
AVG HR, 0, 
MAX HR, 0, 
CAL, 0, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
42,46,0,0.00,
33,56,0,0.01,
33,58,0,0.01,
47,67,0,0.02,
47,68,0,0.03,
48,69,0,0.04,
51,71,0,0.05,
67,73,0,0.07,
67,74,0,0.08,
72,75,0,0.09,
71,76,0,0.10,
73,77,0,0.11,
78,78,0,0.13,
78,76,0,0.14,
76,75,0,0.15,
73,74,0,0.17,
69,73,0,0.18,
68,72,0,0.19,
70,73,0,0.20,
71,74,0,0.22,
70,74,0,0.23,
73,75,0,0.24,
73,75,0,0.25,
73,75,0,0.27,
72,74,0,0.28,
71,74,0,0.29,
71,74,0,0.30,
70,74,0,0.32,
70,74,0,0.33,
69,73,0,0.34,
81,74,0,0.35,
71,75,0,0.37,
71,75,0,0.38,
72,75,0,0.39,
72,75,0,0.40,
71,74,0,0.42,
70,74,0,0.43,
69,75,0,0.44,
71,75,0,0.45,
71,74,0,0.47,
70,74,0,0.48,
115,74,0,0.49,
127,75,0,0.50,
118,74,0,0.52,
111,73,0,0.53,
120,74,0,0.55,
120,74,0,0.56,
125,75,0,0.58,
112,74,0,0.59,
112,74,0,0.61,
112,74,0,0.62,
124,75,0,0.64,
122,74,0,0.66,
121,74,0,0.67,
121,74,0,0.69,
121,75,0,0.70,
123,74,0,0.72,
63,74,0,0.73,
63,74,0,0.75,
62,73,0,0.76,
61,73,0,0.77,
61,74,0,0.78,
62,74,0,0.79,
62,72,0,0.81,
61,72,0,0.82,
59,71,0,0.83,
60,66,0,0.84,
89,66,0,0.85,
148,78,0,0.87,
143,76,0,0.88,
128,72,0,0.90,
127,72,0,0.91,
124,71,0,0.93,
109,69,0,0.94,
59,74,0,0.96,
72,71,0,0.97,
83,58,0,0.99,
82,60,0,1.00,
86,63,0,1.01,
92,65,0,1.03,
93,64,0,1.04,
87,64,0,1.05,
87,64,0,1.07,
90,64,0,1.08,
96,63,0,1.09,
160,64,0,1.11,
154,62,0,1.12,
151,62,0,1.14,
152,64,0,1.16,
153,65,0,1.17,
81,60,0,1.19,
80,61,0,1.20,
81,62,0,1.22,
91,66,0,1.23,
98,69,0,1.24,
103,70,0,1.26,
107,82,0,1.27,
138,81,0,1.29,
136,80,0,1.30,
133,79,0,1.32,
130,78,0,1.33,
128,78,0,1.35,
128,79,0,1.37,
129,80,0,1.38,
131,79,0,1.40,
132,80,0,1.41,
133,81,0,1.43,
135,81,0,1.44,
114,58,0,1.46,
84,66,0,1.48,
93,65,0,1.49,
140,63,0,1.50,
133,63,0,1.52,
134,63,0,1.53,
134,63,0,1.55,
129,63,0,1.57,
91,61,0,1.58,
99,64,0,1.60,
101,61,0,1.61,
95,63,0,1.62,
107,66,0,1.64,
108,67,0,1.65,
110,67,0,1.67,
116,69,0,1.68,
118,72,0,1.70,
128,72,0,1.71,
120,76,0,1.73,
121,70,0,1.74,
118,67,0,1.76,
109,65,0,1.77,
118,63,0,1.79,
123,63,0,1.80,
118,63,0,1.82,
118,63,0,1.83,
150,72,0,1.85,
143,70,0,1.86,
142,69,0,1.88,
139,69,0,1.90,
151,69,0,1.91,
147,70,0,1.93,
149,71,0,1.95,
156,72,0,1.96,
160,72,0,1.98,
160,72,0,2.00,
155,74,0,2.01,
162,72,0,2.03,
150,61,0,2.05,
71,48,0,2.06,
52,55,0,2.08,
56,54,0,2.09,
68,67,0,2.10,
62,74,0,2.11,
70,75,0,2.12,
71,75,0,2.14,
71,74,0,2.15,
70,74,0,2.16,
70,75,0,2.17,
71,74,0,2.19,
70,74,0,2.20,
70,74,0,2.21,
69,74,0,2.22,
70,74,0,2.24,
70,74,0,2.25,
69,74,0,2.26,
68,73,0,2.27,
68,74,0,2.29,
68,75,0,2.30,
70,76,0,2.31,
72,79,0,2.32,
81,82,0,2.34,
82,82,0,2.35,
84,81,0,2.36,
84,82,0,2.38,
84,80,0,2.39,
54,72,0,2.40,
69,76,0,2.42,
71,74,0,2.43,
75,77,0,2.44,
73,74,0,2.45,
70,74,0,2.47,
67,74,0,2.48,
69,74,0,2.49,
69,74,0,2.50,
68,74,0,2.51,
68,74,0,2.53,
69,74,0,2.54,
69,74,0,2.55,
100,89,0,2.56,
98,87,0,2.58,
95,85,0,2.59,
88,81,0,2.61,
81,78,0,2.62,
73,75,0,2.63,
98,74,0,2.64,
98,73,0,2.66,
96,73,0,2.67,
95,73,0,2.69,
94,74,0,2.70,
87,74,0,2.71,
97,75,0,2.73,
97,74,0,2.74,
97,74,0,2.76,
97,73,0,2.77,
95,74,0,2.78,
96,74,0,2.80,
97,74,0,2.81,
97,74,0,2.83,
97,74,0,2.84,
97,74,0,2.85,
97,74,0,2.87,
97,74,0,2.88,
97,74,0,2.90,
97,74,0,2.91,
96,74,0,2.92,
96,74,0,2.94,
97,75,0,2.95,
94,76,0,2.97,
158,100,0,2.98,
163,101,0,3.00,
161,99,0,3.01,
102,104,0,3.03,
109,104,0,3.05,
121,103,0,3.06,
118,96,0,3.07,
102,98,0,3.09,
105,103,0,3.10,
129,108,0,3.12,
129,108,0,3.13,
121,106,0,3.15,
121,106,0,3.17,
122,106,0,3.18,
122,107,0,3.20,
125,108,0,3.21,
136,107,0,3.23,
135,107,0,3.24,
140,108,0,3.26,
135,108,0,3.27,
116,107,0,3.29,
115,106,0,3.31,
114,107,0,3.32,
114,106,0,3.34,
115,106,0,3.35,
112,104,0,3.37,
111,106,0,3.38,
114,107,0,3.40,
115,108,0,3.41,
117,109,0,3.43,
119,108,0,3.44,
119,107,0,3.46,
139,107,0,3.47,
139,115,0,3.49,
157,113,0,3.50,
148,108,0,3.52,
134,106,0,3.54,
167,113,0,3.55,
171,111,0,3.57,
159,108,0,3.59,
154,106,0,3.60,
121,110,0,3.62,
127,109,0,3.64,
124,108,0,3.65,
122,108,0,3.67,
114,108,0,3.68,
122,108,0,3.70,
120,107,0,3.71,
118,108,0,3.73,
119,109,0,3.74,
123,109,0,3.76,
123,108,0,3.77,
121,108,0,3.79,
120,107,0,3.80,
118,107,0,3.82,
118,108,0,3.83,
119,108,0,3.85,
120,108,0,3.86,
122,109,0,3.88,
139,109,0,3.89,
146,108,0,3.91,
143,106,0,3.93,
140,105,0,3.94,
112,106,0,3.96,
114,109,0,3.97,
121,109,0,3.99,
120,107,0,4.01,
112,104,0,4.02,
105,102,0,4.04,
104,100,0,4.05,
101,100,0,4.06,
123,110,0,4.08,
121,108,0,4.09,
119,109,0,4.11,
305,94,0,4.12,
304,91,0,4.14,
260,88,0,4.16,
244,84,0,4.18,
141,70,0,4.20,
100,70,0,4.22,
100,72,0,4.24,
108,74,0,4.25,
112,74,0,4.27,
106,71,0,4.28,
96,67,0,4.30,
90,65,0,4.31,
86,63,0,4.32,
84,64,0,4.34,
53,67,0,4.35,
60,73,0,4.36,
72,79,0,4.38,
87,83,0,4.39,
88,84,0,4.40,
90,83,0,4.41,
88,83,0,4.43,
88,84,0,4.44,
90,84,0,4.46,
91,84,0,4.47,
90,84,0,4.48,
89,83,0,4.50,
88,83,0,4.51,
88,84,0,4.52,
107,90,0,4.54,
87,82,0,4.55,
87,83,0,4.57,
87,83,0,4.58,
88,84,0,4.59,
89,84,0,4.61,
90,84,0,4.62,
90,84,0,4.63,
124,84,0,4.65,
124,85,0,4.66,
138,93,0,4.68,
131,86,0,4.69,
129,85,0,4.71,
126,84,0,4.72,
82,84,0,4.74,
82,83,0,4.75,
83,82,0,4.77,
84,83,0,4.78,
85,84,0,4.79,
84,84,0,4.81,
85,83,0,4.82,
86,83,0,4.83,
86,84,0,4.85,
88,85,0,4.86,
88,85,0,4.88,
83,83,0,4.89,
87,83,0,4.90,
117,85,0,4.92,
119,84,0,4.93,
119,83,0,4.95,
117,84,0,4.96,
119,85,0,4.98,
151,84,0,4.99,
146,84,0,5.01,
148,84,0,5.02,
146,84,0,5.04,
157,84,0,5.06,
156,84,0,5.07,
100,84,0,5.09,
92,82,0,5.11,
90,83,0,5.12,
90,83,0,5.14,
92,84,0,5.15,
93,84,0,5.16,
93,84,0,5.18,
91,84,0,5.19,
92,84,0,5.20,
92,84,0,5.22,
92,83,0,5.23,
91,83,0,5.25,
91,84,0,5.26,
92,84,0,5.27,
93,84,0,5.29,
105,84,0,5.30,
143,71,0,5.31,
171,77,0,5.33,
157,73,0,5.35,
183,80,0,5.37,
180,79,0,5.38,
176,78,0,5.40,
173,79,0,5.42,
181,80,0,5.44,
181,80,0,5.45,
182,80,0,5.47,
185,80,0,5.49,
186,80,0,5.51,
180,81,0,5.52,
184,82,0,5.54,
200,83,0,5.56,
200,82,0,5.58,
193,82,0,5.60,
194,81,0,5.61,
194,81,0,5.63,
194,81,0,5.65,
182,76,0,5.67,
81,45,0,5.69,
64,44,0,5.70,
63,45,0,5.71,
61,44,0,5.73,
62,45,0,5.74,
136,65,0,5.75,
130,64,0,5.76,
125,64,0,5.78,
127,64,0,5.80,
126,64,0,5.81,
122,63,0,5.83,
125,76,0,5.84,
158,67,0,5.86,
138,69,0,5.87,
157,72,0,5.89,
126,64,0,5.91,
130,65,0,5.92,
130,66,0,5.94,
178,65,0,5.95,
179,65,0,5.97,
172,63,0,5.99,
161,61,0,6.01,
154,60,0,6.02,
168,63,0,6.04,
169,65,0,6.06,
287,85,0,6.07,
280,83,0,6.09,
272,80,0,6.11,
253,79,0,6.13,
247,78,0,6.15,
247,79,0,6.17,
248,78,0,6.19,
248,79,0,6.21,
249,79,0,6.23,
253,80,0,6.25,
260,81,0,6.27,
270,82,0,6.29,
268,79,0,6.31,
229,67,0,6.33,
183,66,0,6.35,
229,74,0,6.37,
223,72,0,6.39,
203,69,0,6.41,
189,65,0,6.43,
48,78,0,6.45,
81,111,0,6.46,
92,112,0,6.47,
95,115,0,6.49,
107,115,0,6.50,
106,112,0,6.51,
102,113,0,6.53,
102,115,0,6.54,
105,115,0,6.56,
106,115,0,6.57,
120,122,0,6.59,
120,124,0,6.60,
124,126,0,6.62,
126,126,0,6.63,
126,125,0,6.65,
124,124,0,6.66,
123,125,0,6.68,
125,127,0,6.69,
129,128,0,6.71,
129,126,0,6.73,
127,125,0,6.74,
138,130,0,6.76,
136,129,0,6.77,
133,128,0,6.79,
130,127,0,6.80,
128,126,0,6.82,
188,117,0,6.84,
229,113,0,6.85,
208,94,0,6.87,
