
RIDE SUMMARY,
Total Time, 47.5, Minutes, 
Total Distance, 12.64, MI, 
AVG Power, 118, 
MAX Power, 456, 
AVG RPM, 73, 
MAX RPM, 132, 
AVG HR, 0, 
MAX HR, 0, 
CAL, 0, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
65,81,0,0.00,
72,80,0,0.00,
72,83,0,0.02,
76,83,0,0.03,
59,73,0,0.04,
60,72,0,0.05,
67,70,0,0.07,
64,69,0,0.08,
62,70,0,0.09,
62,69,0,0.10,
82,68,0,0.11,
62,69,0,0.13,
63,71,0,0.14,
60,68,0,0.15,
60,69,0,0.16,
61,69,0,0.18,
61,68,0,0.19,
111,69,0,0.20,
120,70,0,0.21,
120,69,0,0.23,
119,69,0,0.24,
120,70,0,0.26,
120,69,0,0.27,
117,68,0,0.29,
114,68,0,0.30,
108,69,0,0.32,
56,69,0,0.33,
55,69,0,0.34,
86,68,0,0.36,
100,73,0,0.37,
81,65,0,0.38,
81,65,0,0.40,
85,67,0,0.41,
90,70,0,0.42,
94,70,0,0.43,
92,70,0,0.45,
92,70,0,0.46,
84,67,0,0.48,
84,68,0,0.49,
89,69,0,0.50,
89,69,0,0.52,
88,69,0,0.53,
88,69,0,0.54,
90,70,0,0.56,
90,71,0,0.57,
112,78,0,0.59,
111,78,0,0.60,
111,77,0,0.61,
108,77,0,0.63,
108,77,0,0.64,
105,77,0,0.66,
110,78,0,0.67,
115,81,0,0.69,
123,83,0,0.70,
100,74,0,0.72,
98,72,0,0.73,
93,71,0,0.75,
84,67,0,0.76,
122,67,0,0.78,
122,68,0,0.79,
129,69,0,0.80,
132,70,0,0.82,
126,68,0,0.83,
122,67,0,0.85,
126,69,0,0.87,
129,69,0,0.88,
129,69,0,0.90,
126,69,0,0.91,
122,67,0,0.93,
150,65,0,0.94,
147,65,0,0.96,
143,67,0,0.98,
113,65,0,0.99,
113,65,0,1.01,
113,65,0,1.02,
122,67,0,1.04,
120,67,0,1.05,
154,77,0,1.07,
153,77,0,1.08,
155,79,0,1.10,
174,83,0,1.12,
170,81,0,1.13,
167,81,0,1.15,
164,80,0,1.17,
136,72,0,1.19,
130,70,0,1.20,
124,68,0,1.22,
113,65,0,1.23,
110,65,0,1.25,
110,65,0,1.26,
117,66,0,1.28,
114,66,0,1.29,
108,64,0,1.31,
108,65,0,1.32,
172,83,0,1.34,
168,82,0,1.35,
168,82,0,1.37,
165,81,0,1.39,
165,82,0,1.40,
177,83,0,1.42,
234,81,0,1.44,
222,79,0,1.46,
217,78,0,1.48,
129,61,0,1.50,
115,71,0,1.51,
82,59,0,1.53,
101,67,0,1.54,
136,78,0,1.56,
135,78,0,1.57,
136,79,0,1.59,
71,80,0,1.60,
71,79,0,1.62,
70,77,0,1.63,
67,76,0,1.64,
66,75,0,1.66,
72,76,0,1.67,
73,76,0,1.68,
74,76,0,1.69,
70,74,0,1.71,
70,75,0,1.72,
72,76,0,1.73,
73,76,0,1.74,
74,76,0,1.76,
73,76,0,1.77,
74,76,0,1.78,
74,76,0,1.79,
73,76,0,1.81,
74,77,0,1.82,
75,77,0,1.83,
75,76,0,1.85,
74,76,0,1.86,
74,76,0,1.87,
74,76,0,1.88,
74,76,0,1.90,
73,75,0,1.91,
113,76,0,1.92,
118,76,0,1.93,
119,76,0,1.95,
110,76,0,1.97,
119,76,0,1.98,
118,76,0,1.99,
118,76,0,2.01,
117,76,0,2.03,
77,77,0,2.04,
81,76,0,2.06,
75,76,0,2.07,
74,76,0,2.08,
73,75,0,2.09,
73,75,0,2.11,
73,76,0,2.12,
74,76,0,2.13,
75,76,0,2.15,
76,77,0,2.16,
76,76,0,2.17,
75,76,0,2.18,
75,77,0,2.20,
76,76,0,2.21,
74,76,0,2.22,
74,76,0,2.24,
74,76,0,2.25,
134,76,0,2.26,
134,76,0,2.27,
138,77,0,2.29,
138,77,0,2.31,
133,75,0,2.32,
134,76,0,2.34,
130,76,0,2.35,
112,75,0,2.37,
76,75,0,2.39,
76,75,0,2.40,
77,76,0,2.41,
72,73,0,2.43,
72,74,0,2.44,
75,76,0,2.45,
77,76,0,2.46,
78,76,0,2.48,
77,75,0,2.49,
77,76,0,2.50,
78,77,0,2.52,
78,76,0,2.53,
77,75,0,2.54,
77,76,0,2.55,
77,76,0,2.57,
78,76,0,2.58,
78,76,0,2.59,
145,76,0,2.61,
145,76,0,2.62,
144,75,0,2.64,
141,75,0,2.65,
110,76,0,2.67,
104,77,0,2.68,
106,76,0,2.70,
102,76,0,2.71,
101,75,0,2.73,
107,75,0,2.74,
107,75,0,2.76,
108,76,0,2.77,
109,76,0,2.79,
109,76,0,2.80,
109,76,0,2.82,
109,76,0,2.83,
144,89,0,2.85,
136,88,0,2.86,
136,87,0,2.88,
137,87,0,2.89,
143,89,0,2.91,
97,104,0,2.92,
116,104,0,2.94,
121,106,0,2.95,
117,107,0,2.97,
122,109,0,2.98,
140,110,0,3.00,
141,111,0,3.01,
145,112,0,3.03,
138,108,0,3.05,
134,108,0,3.06,
135,110,0,3.08,
138,110,0,3.10,
162,119,0,3.11,
162,119,0,3.13,
159,118,0,3.14,
159,118,0,3.16,
159,118,0,3.18,
176,124,0,3.19,
180,123,0,3.21,
163,118,0,3.23,
143,112,0,3.25,
137,109,0,3.26,
142,109,0,3.28,
241,103,0,3.30,
288,115,0,3.31,
260,114,0,3.33,
254,112,0,3.35,
269,109,0,3.37,
329,107,0,3.39,
319,105,0,3.41,
310,103,0,3.43,
310,103,0,3.46,
310,103,0,3.48,
456,103,0,3.50,
365,90,0,3.52,
364,89,0,3.54,
157,86,0,3.57,
91,86,0,3.59,
104,91,0,3.60,
114,97,0,3.62,
124,104,0,3.63,
121,109,0,3.65,
203,83,0,3.66,
102,71,0,3.68,
102,73,0,3.69,
129,89,0,3.71,
102,89,0,3.72,
126,88,0,3.74,
99,87,0,3.75,
124,88,0,3.77,
102,88,0,3.78,
102,86,0,3.80,
101,86,0,3.81,
100,87,0,3.83,
101,87,0,3.84,
100,85,0,3.86,
97,85,0,3.87,
100,86,0,3.89,
100,86,0,3.90,
100,86,0,3.91,
100,86,0,3.93,
101,88,0,3.94,
103,89,0,3.96,
102,87,0,3.97,
101,86,0,3.99,
101,87,0,4.00,
101,88,0,4.01,
103,88,0,4.03,
103,87,0,4.04,
101,86,0,4.06,
100,86,0,4.07,
97,86,0,4.09,
103,87,0,4.10,
92,83,0,4.11,
95,84,0,4.13,
99,86,0,4.14,
99,86,0,4.16,
100,87,0,4.17,
101,87,0,4.18,
101,86,0,4.20,
124,83,0,4.21,
128,71,0,4.23,
94,62,0,4.24,
90,60,0,4.26,
100,64,0,4.27,
105,63,0,4.29,
94,62,0,4.30,
94,61,0,4.31,
96,60,0,4.33,
102,62,0,4.34,
104,62,0,4.36,
93,62,0,4.37,
98,61,0,4.38,
101,62,0,4.40,
95,62,0,4.41,
102,76,0,4.43,
124,85,0,4.44,
142,92,0,4.45,
141,91,0,4.47,
139,90,0,4.49,
137,90,0,4.50,
135,89,0,4.52,
131,89,0,4.53,
91,87,0,4.55,
89,85,0,4.56,
89,92,0,4.58,
97,90,0,4.59,
95,88,0,4.61,
91,86,0,4.62,
88,86,0,4.63,
88,87,0,4.65,
89,88,0,4.66,
90,87,0,4.67,
90,87,0,4.69,
89,86,0,4.70,
142,87,0,4.72,
145,89,0,4.73,
148,89,0,4.75,
145,87,0,4.76,
156,88,0,4.78,
148,89,0,4.79,
142,87,0,4.81,
136,82,0,4.83,
149,66,0,4.84,
104,64,0,4.86,
102,60,0,4.88,
89,57,0,4.89,
83,55,0,4.90,
77,57,0,4.92,
150,76,0,4.93,
115,65,0,4.94,
99,62,0,4.96,
103,70,0,4.97,
99,61,0,4.99,
96,60,0,5.00,
96,60,0,5.02,
99,61,0,5.03,
102,62,0,5.05,
99,61,0,5.06,
99,61,0,5.07,
99,61,0,5.09,
112,65,0,5.10,
111,64,0,5.12,
107,61,0,5.13,
113,59,0,5.15,
144,61,0,5.16,
158,63,0,5.18,
154,62,0,5.19,
145,60,0,5.21,
156,62,0,5.23,
156,63,0,5.24,
149,61,0,5.26,
140,59,0,5.28,
140,59,0,5.29,
147,62,0,5.31,
151,62,0,5.33,
151,61,0,5.34,
149,62,0,5.36,
158,63,0,5.37,
291,72,0,5.39,
284,71,0,5.41,
269,69,0,5.43,
270,69,0,5.45,
269,68,0,5.47,
255,67,0,5.49,
254,66,0,5.51,
235,64,0,5.53,
120,61,0,5.55,
114,60,0,5.57,
97,71,0,5.58,
110,91,0,5.60,
181,90,0,5.61,
177,87,0,5.63,
173,84,0,5.65,
196,80,0,5.66,
187,77,0,5.68,
179,76,0,5.70,
209,83,0,5.72,
204,81,0,5.74,
61,80,0,5.75,
74,103,0,5.77,
90,103,0,5.78,
91,107,0,5.80,
108,113,0,5.81,
141,129,0,5.83,
141,129,0,5.84,
140,127,0,5.86,
131,124,0,5.87,
130,123,0,5.89,
129,123,0,5.90,
132,125,0,5.92,
135,128,0,5.94,
155,131,0,5.95,
140,129,0,5.97,
193,125,0,5.98,
189,123,0,6.00,
187,123,0,6.02,
268,111,0,6.04,
225,101,0,6.05,
219,98,0,6.07,
55,46,0,6.09,
95,62,0,6.11,
95,62,0,6.12,
113,61,0,6.14,
114,63,0,6.15,
372,88,0,6.17,
342,83,0,6.18,
323,81,0,6.20,
309,79,0,6.23,
298,76,0,6.25,
268,73,0,6.27,
252,69,0,6.29,
192,61,0,6.31,
192,61,0,6.33,
192,61,0,6.35,
143,65,0,6.37,
197,88,0,6.38,
204,89,0,6.40,
208,90,0,6.42,
207,89,0,6.44,
76,89,0,6.46,
97,100,0,6.47,
116,106,0,6.49,
137,120,0,6.50,
139,121,0,6.52,
140,119,0,6.53,
115,109,0,6.55,
116,111,0,6.57,
117,111,0,6.58,
117,108,0,6.60,
107,106,0,6.61,
197,87,0,6.63,
145,70,0,6.64,
114,63,0,6.66,
112,62,0,6.68,
114,61,0,6.69,
113,64,0,6.71,
160,65,0,6.72,
168,63,0,6.74,
157,61,0,6.75,
145,58,0,6.77,
115,51,0,6.79,
106,50,0,6.80,
102,49,0,6.82,
109,49,0,6.83,
105,48,0,6.85,
105,48,0,6.86,
109,50,0,6.88,
113,50,0,6.89,
113,50,0,6.90,
118,51,0,6.92,
97,46,0,6.93,
122,52,0,6.95,
117,51,0,6.96,
107,48,0,6.98,
104,48,0,6.99,
113,50,0,7.01,
151,50,0,7.02,
150,50,0,7.04,
145,49,0,7.05,
155,51,0,7.07,
133,47,0,7.09,
138,48,0,7.10,
144,50,0,7.12,
138,48,0,7.14,
144,49,0,7.15,
155,51,0,7.17,
149,49,0,7.18,
147,49,0,7.20,
144,50,0,7.22,
151,49,0,7.23,
172,53,0,7.25,
160,51,0,7.27,
98,51,0,7.28,
122,49,0,7.30,
122,49,0,7.32,
126,49,0,7.33,
132,50,0,7.35,
120,50,0,7.36,
131,50,0,7.38,
189,50,0,7.39,
189,50,0,7.41,
190,51,0,7.43,
189,50,0,7.45,
186,49,0,7.46,
174,49,0,7.48,
126,48,0,7.50,
126,48,0,7.52,
131,49,0,7.53,
129,47,0,7.55,
126,48,0,7.56,
136,50,0,7.58,
121,47,0,7.59,
64,64,0,7.61,
78,76,0,7.63,
122,95,0,7.64,
137,98,0,7.65,
136,102,0,7.67,
134,100,0,7.68,
132,97,0,7.70,
145,104,0,7.71,
139,101,0,7.73,
134,100,0,7.75,
133,99,0,7.76,
