,,,
RIDE SUMMARY,,,
Total Time,58.3, Minutes, 
Total Distance,18.02, MI, 
AVG Power,143, ,
MAX Power,334, ,
AVG RPM,66, ,
MAX RPM,100, ,
AVG HR,0, ,
MAX HR,0, ,
CAL,0, ,
,,,
RIDE DATA, ,,
Power, RPM, HR, DISTANCE
55,68,0,0
78,80,0,0.01
77,79,0,0.02
74,77,0,0.03
71,77,0,0.04
71,78,0,0.06
71,77,0,0.07
46,64,0,0.08
72,78,0,0.09
71,78,0,0.1
71,78,0,0.12
72,79,0,0.13
73,80,0,0.14
122,81,0,0.15
116,77,0,0.17
108,74,0,0.18
104,74,0,0.2
105,75,0,0.21
105,64,0,0.23
79,63,0,0.24
79,64,0,0.26
112,77,0,0.27
113,78,0,0.28
115,80,0,0.3
118,80,0,0.31
120,80,0,0.33
120,80,0,0.34
119,79,0,0.36
118,80,0,0.37
118,80,0,0.39
120,82,0,0.4
122,81,0,0.42
121,81,0,0.43
122,82,0,0.45
124,82,0,0.46
117,78,0,0.48
110,76,0,0.5
109,76,0,0.51
114,77,0,0.53
159,78,0,0.54
159,78,0,0.56
154,75,0,0.57
141,72,0,0.59
135,71,0,0.61
135,71,0,0.62
134,70,0,0.64
129,70,0,0.65
130,70,0,0.67
129,69,0,0.69
124,68,0,0.7
124,68,0,0.72
128,69,0,0.73
128,69,0,0.75
128,69,0,0.76
127,68,0,0.78
124,67,0,0.79
121,67,0,0.81
121,67,0,0.83
120,68,0,0.84
124,69,0,0.86
125,69,0,0.87
127,71,0,0.89
133,71,0,0.9
134,72,0,0.92
136,71,0,0.93
136,72,0,0.95
136,72,0,0.97
135,71,0,0.98
130,70,0,1
128,69,0,1.01
126,70,0,1.03
129,70,0,1.04
130,71,0,1.06
131,71,0,1.08
160,79,0,1.09
159,78,0,1.11
155,77,0,1.12
142,74,0,1.14
135,71,0,1.16
129,70,0,1.17
130,71,0,1.19
131,71,0,1.21
132,71,0,1.22
132,71,0,1.24
128,69,0,1.25
127,68,0,1.27
124,69,0,1.28
129,70,0,1.3
128,69,0,1.31
126,67,0,1.33
119,67,0,1.35
119,68,0,1.36
126,71,0,1.38
132,71,0,1.39
126,69,0,1.41
126,70,0,1.42
132,71,0,1.44
