
RIDE SUMMARY,
Total Time, 47.3, Minutes, 
Total Distance, 12.51, MI, 
AVG Power, 121, 
MAX Power, 345, 
AVG RPM, 76, 
MAX RPM, 132, 
AVG HR, 0, 
MAX HR, 0, 
CAL, 0, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
74,90,0,0.00,
82,101,0,0.00,
98,101,0,0.02,
100,102,0,0.03,
102,103,0,0.05,
102,103,0,0.06,
104,104,0,0.07,
105,104,0,0.09,
106,104,0,0.10,
107,105,0,0.12,
108,106,0,0.13,
109,106,0,0.15,
120,111,0,0.16,
119,110,0,0.18,
118,109,0,0.19,
116,109,0,0.21,
116,109,0,0.22,
114,109,0,0.24,
113,109,0,0.25,
116,111,0,0.27,
119,111,0,0.28,
118,110,0,0.30,
117,110,0,0.31,
117,111,0,0.33,
101,101,0,0.34,
108,106,0,0.36,
108,106,0,0.37,
107,106,0,0.39,
106,106,0,0.40,
106,105,0,0.42,
116,104,0,0.43,
116,103,0,0.44,
116,104,0,0.46,
116,105,0,0.47,
115,105,0,0.49,
111,105,0,0.50,
150,122,0,0.52,
149,121,0,0.53,
144,119,0,0.55,
136,116,0,0.57,
132,113,0,0.58,
126,111,0,0.60,
121,110,0,0.62,
124,111,0,0.63,
125,113,0,0.65,
126,112,0,0.66,
126,112,0,0.68,
123,111,0,0.69,
121,109,0,0.71,
113,106,0,0.72,
110,104,0,0.74,
107,104,0,0.75,
106,104,0,0.77,
107,104,0,0.78,
108,106,0,0.80,
119,107,0,0.81,
136,106,0,0.83,
145,102,0,0.84,
163,100,0,0.86,
137,96,0,0.87,
140,75,0,0.89,
148,74,0,0.91,
150,74,0,0.92,
149,71,0,0.94,
130,66,0,0.96,
110,63,0,0.97,
106,62,0,0.99,
107,63,0,1.00,
105,59,0,1.02,
84,64,0,1.03,
115,62,0,1.05,
118,63,0,1.06,
115,62,0,1.08,
108,60,0,1.09,
111,61,0,1.11,
115,63,0,1.12,
115,62,0,1.14,
108,60,0,1.15,
114,62,0,1.17,
114,63,0,1.18,
104,59,0,1.20,
121,60,0,1.21,
149,63,0,1.23,
128,58,0,1.24,
129,59,0,1.26,
133,62,0,1.27,
199,74,0,1.29,
199,74,0,1.31,
189,72,0,1.32,
189,72,0,1.34,
194,74,0,1.36,
159,66,0,1.38,
157,65,0,1.40,
146,62,0,1.41,
139,61,0,1.43,
143,62,0,1.45,
131,58,0,1.46,
136,59,0,1.48,
145,61,0,1.49,
159,63,0,1.51,
154,62,0,1.53,
150,61,0,1.54,
